| Word | Head | Dependency Distance |
|---|---|---|
| Transmissionsledningen | är | 1 |
| mellan | Transmissionsledningen | 2 |
| Stackbo | mellan | 3 |
| och | Stackbo | 4 |
| Forsbacka | och | 5 |
| är | kort | 6 |
| ca | är | 7 |
| 5 | ca | 8 |
| km | 5 | 9 |
| Om | är | 10 |
| störningen | skapas | 11 |
| skapas | Om | 12 |
| på | skapas | 13 |
| subtransmissionsnätet | på | 14 |
| nedströms | subtransmissionsnätet | 15 |
| om | nedströms | 16 |
| Forsbacka | om | 17 |
| och | störningen | 18 |
| redan | är | 19 |
| är | störningen | 20 |
| stor | är | 21 |
| i | stor | 22 |
| Forsbacka | i | 23 |
| hur | är | 24 |
| stor | hur | 25 |
| är | störningen | 26 |
| störningen | är | 27 |
| längre | ut | 28 |
| ut | på | 29 |
| på | transmissionsnätet | 30 |
| Skulle | vara | 31 |
| då | Skulle | 32 |
| inte | vara | 33 |
| problemen | vara | 34 |
| längre | ut | 35 |
| ut | på | 36 |
| på | transmissionsnätet | 37 |
| vara | så | 38 |
| så | stora | 39 |
| stora | vara | 40 |
| att | åtgärdade | 41 |
| de | åtgärdade | 42 |
| åtgärdade | vore | 43 |
| vore | åtgärdade | 44 |
| pga | åtgärdade | 45 |
| klagomål | pga | 46 |
| Nedströms | finns | 47 |
| om | Nedströms | 48 |
| Forsbacka | om | 49 |
| på | transmissionsnätet | 50 |
| subtransmissionsnätet | på | 51 |
| finns | kända | 52 |
| kända | källor | 53 |
| källor | finns | 54 |
| som | källor | 55 |
| ljusbågsugnar | som | 56 |

Average dependency distance: (1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12 + 13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24 + 25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36 + 37 + 38 + 39 + 40 + 41 + 42 + 43 + 44 + 45 + 46 + 47 + 48 + 49 + 50 + 51 + 52 + 53 + 54 + 55 + 56) / 56 = 27.73
