| Token | Head | Dependency Distance |
|---|---|---|
| Keywords | null | 0 |
| : | null | 0 |
| initial | Keywords | 1 |
| study | Keywords | 1 |
| , | null | 0 |
| object | Keywords | 1 |
| description | object | 2 |
| , | null | 0 |
| measures | Keywords | 1 |
| , | null | 0 |
| climate | measures | 2 |
| shell | climate | 3 |
| , | null | 0 |
| caution | Keywords | 1 |
| , | null | 0 |
| energy | Keywords | 1 |
| , | null | 0 |
| moisture | energy | 2 |
| "pay-back | times | 1 |
| times | Keywords | 1 |
| " | null | 0 |

Average dependency distance: (1 + 1 + 2 + 2 + 3 + 1 + 2 + 1 + 1) / 10 = 1.5
