| Token | Head | Dependency Distance |
|---|---|---|
| De | storlekar | 1 |
| storlekar | är | 1 |
| som | finns | 1 |
| finns | är | 1 |
| är | 15" | 1 |
| 15" | är | 1 |
| 17" | är | 1 |
| 19" | är | 1 |
| 21" | är | 1 |
| på | skärmarna | 1 |
| de | skärmarna | 1 |
| vanliga | skärmarna | 1 |
| skärmarna | är | 1 |
| 12" | är | 1 |
| 15" | är | 1 |
| 17" | är | 1 |
| 18" | är | 1 |
| på | skärmarna | 1 |
| de | skärmarna | 1 |
| platta | skärmarna | 1 |
| skärmarna | är | 1 |
| Alla | skärmar | 1 |
| skärmar | har | 2 |
| har | upplösningar | 2 |
| upplösningar | är | 1 |
| den | upplösningen | 1 |
| upplösningen | är | 1 |
| är | 1600 | 1 |
| 1600 | är | 1 |
| punkter | är | 1 |
| är | bredden | 1 |
| bredden | är | 1 |
| gånger | punkter | 1 |
| punkter | är | 1 |
| är | höjden | 1 |
| höjden | är | 1 |
| Skärmens | uppdatering | 1 |
| uppdatering | mäts | 1 |
| mäts | Hertz | 1 |
| Hertz | är | 1 |
| är | bra | 1 |
| Mätningen | visar | 1 |
| visar | uppdateras | 1 |
| uppdateras | skärmen | 1 |
| Mus | Musmatta | 1 |
| Musmatta | Det | 1 |
| Det | finns | 1 |
| finns | två | 1 |
| typers | möss | 1 |
| möss | är | 1 |
| är | olika | 1 |
| knapptyper | är | 1 |
| är | två | 1 |
| två | och | 1 |
| och | tre | 1 |
| kanppars | är | 1 |
| är | två | 1 |

The average dependency distance is (1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1)/133 = 1.43.
