| Token | Head | Distance |
|---|---|---|
| Men | tog | 1 |
| jag | tog | 1 |
| tog | hade | 3 |
| bara | lite | 1 |
| jätte | lite | 1 |
| lite | information | 1 |
| information | från | 2 |
| från | Wikipedia | 1 |
| Wikipedia | eftersom | 1 |
| eftersom | hade | 2 |
| jag | hade | 1 |
| redan | hade | 1 |
| hade | tillräckligt | 1 |
| tillräckligt | med | 1 |
| med | information | 1 |
| information | från | 2 |
| från | källor | 1 |
| mina | källor | 1 |
| andra | källor | 1 |

Average dependency distance: (110/20) = 5.5
