| Word | Head | Distance |
|---|---|---|
| Dessa | problem | 1 |
| problem | kan | 1 |
| kan | lösas | 1 |
| lösas | genom | 1 |
| genom | att | 1 |
| att | minska | 1 |
| minska | strålningen | 1 |
| strålningen | från | 1 |
| från | komponenterna | 1 |
| komponenterna | inne | 1 |
| inne | produkten | 1 |
| eller | genom | 1 |
| genom | att | 1 |
| att | konstruera | 1 |
| konstruera | om | 1 |
| om | chassiet | 1 |
| I | detta | 1 |
| detta | examensarbete | 1 |
| examensarbete | hålls | 1 |
| hålls | enbart | 1 |
| enbart | fokus | 1 |
| fokus | på | 1 |
| på | att | 1 |
| att | konstruera | 1 |
| konstruera | om | 1 |
| om | chassiet | 1 |
| eftersom | konstruktionen | 1 |
| konstruktionen | av | 1 |
| av | elektroniken | 1 |
| elektroniken | redan | 1 |
| redan | är | 1 |
| är | definitiv | 1 |
| För | chassiets | 1 |
| chassiets | del | 1 |
| del | är | 1 |
| är | just | 1 |
| just | nu | 1 |
| nu | de | 1 |
| de | huvudsakliga | 1 |
| huvudsakliga | problemen | 1 |
| problemen | att | 1 |
| att | skruvavstånden | 1 |
| skruvavstånden | är | 1 |
| är | för | 1 |
| för | långa | 1 |
| långa | mellan | 1 |
| mellan | många | 1 |
| många | skruvar | 1 |
| ytorna | är | 1 |
| är | ytbehandlade | 1 |
| ytbehandlade | med | 1 |
| med | isolerande | 1 |
| isolerande | material | 1 |
| och | klämkrafterna | 1 |
| klämkrafterna | mellan | 1 |
| mellan | skarvarna | 1 |
| skarvarna | är | 1 |
| är | för | 1 |
| för | små | 1 |

The average dependency distance is (1*43 + 2*1)/44 = 1.045.
