| Token | Head | Dependency Distance |
|---|---|---|
| Antennbäraren | ska | 2 |
| ska | kunna | 1 |
| kunna | fällas | 3 |
| fällas | ned | 2 |
| ned | vid | 1 |
| vid | mätning | 1 |
| och | fällas | 0 |
| fällas | upp | 2 |
| upp | vid | 1 |
| vid | start | 1 |
| och | landning | 0 |
| och | transport | 0 |
| Dessutom | ska | 3 |
| ska | antennbäraren | 2 |
| kunna | nödfällas | 3 |
| Omfattningen | inkluderar | 2 |
| inkluderar | konstruktion | 3 |
| konstruktion | av | 2 |
| av | bärare | 2 |
| bärare | av | 3 |
| av | antennelement | 3 |
| ramstruktur | som | 2 |
| som | fästs | 3 |
| fästs | mot | 2 |
| mot | helikoptern | 3 |
| upp | och | 1 |
| och | nedfällningsmekanism | 2 |
| samt | mekanism | 1 |
| mekanism | för | 2 |
| för | nödfällning | 3 |
| Konstruktionsarbetet | baseras | 2 |
| baseras | på | 1 |
| på | modal- | 2 |
| modal- | och | 1 |
| och | spänningsanalyser | 2 |
| vibrationsmätning | och | 1 |
| och | frekvensanalys | 2 |
| samt | flödesberäkningar | 1 |
| samt | mekaniska | 1 |
| mekaniska | beräkningar | 2 |

Average dependency distance = 119/102 = 1.17
