| Word | Head | Distance |
|---|---|---|
| Utveckling | ske | 4 |
| och | ske | 3 |
| verifiering | ske | 3 |
| kommer | ske | 2 |
| att | ske | 1 |
| kunna | ske | 2 |
| på | nivå | 1 |
| sammanbyggd | nivå | 1 |
| blocknivå | nivå | 2 |
| Idag | provas | 1 |
| provas | provas | 0 |
| separatorer | proves | 2 |
| som | enhet | 1 |
| en | enhet | 0 |
| färdig | enhet | 1 |
| sammanbyggd | enhet | 2 |
| enhet | enhet | 0 |
| Många | påverkar | 2 |
| faktorer | påverkar | 1 |
| påverkar | påverkar | 0 |
| provresultaten | är | 3 |
| och | är | 2 |
| problem | är | 2 |
| som | är | 1 |
| konstateras | är | 2 |
| är | är | 0 |
| svåra | identifiera | 2 |
| att | identifiera | 1 |
| identifiera | identifiera | 0 |
| I | leder | 1 |
| produktion | leder | 1 |
| leder | leder | 0 |
| detta | leder | 1 |
| ofta | leder | 1 |
| till | leveransförseningar | 2 |
| leveransförseningar | leder | 2 |
| Syftet | är | 1 |
| med | arbetet | 2 |
| arbetet | är | 1 |
| är | är | 0 |
| att | uppfyller | 2 |
| utveckla | uppfyller | 1 |
| en | testrigg | 1 |
| testrigg | uppfyller | 2 |
| som | uppfyller | 1 |
| uppfyller | uppfyller | 0 |
| kraven | testbarhet | 2 |
| för | testbarhet | 1 |
| separat | testbarhet | 1 |
| testbarhet | uppfyller | 2 |
| av | moduler | 1 |
| hermetiska | moduler | 1 |
| utloppsmoduler | testbarhet | 2 |

Average dependency distance = 117/80 = 1.46
