| Token | Head | Distance |
|---|---|---|
| Stockholm |  | 0 |
| , |  | 0 |
| oktober |  | 0 |
| år |  | 0 |
| 2009 |  | 0 |
| Elina | Wetterblad | 1 |
| Wetterblad |  | 0 |
| ii |  | 0 |
| iii |  | 0 |
| Sammanfattning |  | 0 |
| Under | delen | 1 |
| delen | bostadskrisen | 2 |
| av | 1960-talet | 3 |
| 1960-talet |  | 0 |
| var | det | 1 |
| det | akut | 1 |
| akut | bostadskris | 2 |
| bostadskris | i | 1 |
| i | Sverige | 1 |
| Sverige |  | 0 |
| Det | fanns | 1 |
| fanns | inte | 1 |
| inte | tillräckligt | 1 |
| tillräckligt | med | 1 |
| med | lägenheter | 1 |
| lägenheter | för | 1 |
| för | den | 1 |
| den | snabbt | 1 |
| snabbt | växande | 1 |
| växande | befolkningen | 1 |
| befolkningen | och | 1 |
| och | den | 1 |
| den | generella | 1 |
| generella | bostadsstandarden | 1 |
| bostadsstandarden | var | 1 |
| var | låg | 1 |
| För | att | 1 |
| att | lösa | 1 |
| lösa | bostadskrisen | 1 |
| bostadskrisen | satte | 1 |
| satte | riksdagen | 1 |
| riksdagen | som | 1 |
| som | mål | 1 |
| mål | att | 1 |
| att | en | 1 |
| en | miljon | 1 |
| miljon | bostäder | 1 |
| bostäder | skulle | 1 |
| skulle | byggas | 1 |
| byggas | under | 1 |
| under | perioden | 1 |
| perioden | 1965-1974 | 1 |
| 1965-1974 |  | 0 |

Average dependency distance = 139/36 = 3.86
