| Word | Head | Dependency Distance |
|---|---|---|
| Den | klar | 3 |
| blev | klar | 2 |
| aldrig | klar | 3 |
| riktig | klar | 4 |
| för | klar | 5 |
| att | skulle | 6 |
| den | skulle | 5 |
| då | skulle | 4 |
| skulle | varit | 3 |
| lika | stor | 4 |
| stor | som | 3 |
| som | fotbollsplan | 2 |
| fotbollsplan | var | 1 |
| Själva | grundidén | 2 |
| grundidén | var | 1 |
| var | framlagd | 2 |
| nu | framlagd | 1 |
| framlagd | , | 0 |
| men | tyckte | 4 |
| folk | tyckte | 3 |
| tyckte | att | 2 |
| att | var | 3 |
| Babbage | var | 2 |
| var | galen | 1 |
| galen | som | 2 |
| som | hade | 3 |
| hade | ideér | 2 |
| Utvecklingen | hade | 2 |
| hade | stannat | 3 |
| stannat | upp | 2 |
| upp | en | 3 |
| en | liten | 4 |
| liten | bit | 3 |
| bit | . | 0 |
| Andra | världskriget | 2 |
| världskriget | började | 3 |
| började | nu | 2 |
| nu | att | 3 |
| att | ta | 4 |
| ta | fart | 3 |
| fart | och | 2 |
| och | då | 3 |
| då | började | 4 |
| började | datorn | 3 |
| datorn | utveckling | 2 |
| utveckling | skynde | 3 |
| skynde | på | 2 |
| på | lite | 3 |
| Anledningen | var | 2 |
| var | att | 3 |
| att | behöves | 4 |
| behöves | till | 3 |
| till | kanonerna | 2 |
| kanonerna | , | 0 |
| som | skulle | 3 |
| skulle | skjuta | 2 |
| skjuta | efter | 3 |
| efter | en | 4 |
| en | viss | 5 |
| viss | tid | 4 |
| tid | , | 0 |
| då | kom | 4 |
| kom | datorn | 3 |
| datorn | till | 2 |
| till | användning | 3 |
| användning | . | 0 |

Average dependency distance: (3+2+3+4+5+6+2+1+2+3+4+2+1+4+3+2+3+2+3+4+2+3+3+4+2+4+3+2+1+3+4+3+2+4+5+4+3+4+2+2+3+2+3+4+3+2+2+4+3+2+2+3+3+2+3+3+2+3+4) / 51 = 3.53
