| Token | Head | Dependency Distance |
|---|---|---|
| Den | har | 2 |
| modell | har | 2 |
| som | har | 2 |
| har | skapats | 1 |
| skapats | har | 1 |
| har | visat | 1 |
| visat | sig | 1 |
| sig | producera | 1 |
| producera | visat | 2 |
| mycket | bra | 1 |
| bra | producera | 2 |
| resultat | producera | 2 |
| och | är | 2 |
| de | är | 2 |
| slutsatser | är | 1 |
| som | kan | 2 |
| kan | dras | 1 |
| dras | är | 3 |
| av | arbete | 2 |
| arbete | dras | 3 |
| är | goda | 1 |
| att | har | 2 |
| vattenkraften | har | 1 |
| har | möjligheter | 1 |
| mycket | goda | 1 |
| goda | möjligheter | 2 |
| möjligheter | har | 3 |
| att | balansera | 2 |
| balansera | möjligheter | 3 |
| den | produktionen | 2 |
| ojämna | produktionen | 1 |
| produktionen | balansera | 3 |
| Endast | har | 2 |
| enstaka | fall | 1 |
| fall | har | 2 |
| har | påträffats | 1 |
| påträffats | har | 2 |
| där | uppstår | 2 |
| uppstår | har | 3 |
| trots | har | 2 |
| att | har | 2 |
| har | funnits | 1 |
| funnits | trots | 3 |
| och | kan | 2 |
| de | kan | 2 |
| stora | spill | 1 |
| spill | kan | 2 |
| som | påträffas | 2 |
| påträffas | kan | 3 |
| bland | resultaten | 2 |
| resultaten | påträffas | 3 |
| kan | avhjälpas | 1 |
| avhjälpas | kan | 2 |
| med | bättre | 2 |
| bättre | avhjälpas | 3 |
| säsongsplanering | bättre | 2 |

Average dependency distance: 2.13
