| Word | Head | Distance |
|---|---|---|
| Östersjöns | vatten | 1 |
| vatten | får | 1 |
| får | mer | 2 |
| mer | kraftigare | 3 |
| kraftigare | algblomningar | 4 |
| algblomningar | och | 1 |
| och | då | 2 |
| då | dör | 3 |
| dör | fiskarna | 1 |
| fiskarna | eftersom | 2 |
| eftersom | det | 3 |
| det | blir | 4 |
| blir | alldeles | 5 |
| alldeles | för | 6 |
| för | mycket | 7 |
| mycket | . | 1 |
| . | 94 | 2 |
| 94 | miljoner | 3 |
| miljoner | ton | 4 |
| ton | fisk | 5 |
| fisk | , | 1 |
| , | fiskas | 2 |
| fiskas | upp | 3 |
| upp | av | 4 |
| av | 30 | 5 |
| 30 | miljoner | 6 |
| miljoner | fiskare | 7 |
| fiskare | och | 1 |
| och | 4 | 2 |
| 4 | miljoner | 3 |
| miljoner | fiskebåtar | 4 |
| fiskebåtar | varje | 5 |
| varje | år | 6 |
| år | , | 1 |
| , | det | 2 |
| det | är | 3 |
| är | ungefär | 4 |
| ungefär | 200 | 5 |
| 200 | miljoner | 6 |
| miljoner | människor | 7 |
| människor | . | 1 |
| . | Med | 2 |
| Med | de | 3 |
| de | här | 4 |
| här | siffrorna | 5 |
| siffrorna | kommer | 6 |
| kommer | det | 7 |
| det | inte | 8 |
| inte | att | 9 |
| att | finnas | 10 |
| finnas | några | 11 |
| några | fiskar | 12 |
| fiskar | kvar | 13 |
| kvar | . | 1 |
| . | Fyra | 2 |
| Fyra | femtedelar | 3 |
| femtedelar | av | 4 |
| av | EUs | 5 |
| EUs | kommersiellt | 6 |
| kommersiellt | viktiga | 7 |
| viktiga | fiskbestånd | 8 |
| fiskbestånd | bedöms | 9 |
| bedöms | vara | 10 |
| vara | överfiskade | 11 |
| överfiskade | . | 1 |

Average dependency distance: 5.45
