| Token | Head | Distance |
|---|---|---|
| Det | är | 1 |
| är | detta | 1 |
| detta | tillstånd | 1 |
| tillstånd | som | 1 |
| som | man | 1 |
| man | kallar | 1 |
| kallar | för | 1 |
| för | aids | 1 |
| aids | . | 0 |
| så | vitt | 1 |
| vitt | man | 1 |
| man | vet | 1 |
| vet | så | 1 |
| så | leder | 1 |
| leder | en | 1 |
| en | obehandlad | 1 |
| obehandlad | hiv-infektion | 1 |
| hiv-infektion | förr | 1 |
| förr | eller | 1 |
| eller | senare | 1 |
| senare | till | 1 |
| till | döden | 1 |
| döden | . | 0 |
| det | finns | 1 |
| finns | en | 1 |
| en | storts | 1 |
| storts | medicin | 1 |
| medicin | som | 1 |
| som | bromsar | 1 |
| bromsar | sjukdomsförloppet | 1 |
| sjukdomsförloppet | , | 0 |
| den | heter | 1 |
| heter | bromsmedicin | 1 |
| bromsmedicin | . | 0 |
| den | medicinen | 1 |
| medicinen | kan | 1 |
| kan | hålla | 1 |
| hålla | virushalten | 1 |
| virushalten | i | 1 |
| i | blodet | 1 |
| blodet | på | 1 |
| på | en | 1 |
| en | så | 1 |
| så | låg | 1 |
| låg | nivå | 1 |
| nivå | så | 1 |
| så | att | 1 |
| att | immunförsvaret | 1 |
| immunförsvaret | inte | 1 |
| inte | slås | 1 |
| slås | ut | 1 |
| ut | och | 1 |
| och | den | 1 |
| den | smittade | 1 |
| smittade | inte | 1 |
| inte | utvecklar | 1 |
| utvecklar | aids | 1 |
| aids | . | 0 |
| smittsamheten | vid | 1 |
| vid | en | 1 |
| en | effektiv | 1 |
| effektiv | behandling | 1 |
| behandling | minskar | 1 |
| minskar | . | 0 |

The average dependency distance is 81/52=1.56.
