| Word | Head | Distance |
|---|---|---|
| Syftet | är | 2 |
| med | är | 1 |
| arbetet | är | 1 |
| är | . | 0 |
| att | undersöka | 1 |
| med | undersöka | 1 |
| hjälp | av | 1 |
| av | en | 1 |
| en | nötningsrigg | 1 |
| nötningsrigg | sålla | 1 |
| sålla | undersöka | 1 |
| mellan | och | 1 |
| olika | material | 1 |
| material | sålla | 1 |
| och | undersöka | 1 |
| ytbeläggningar | undersöka | 1 |
| under | förhållanden | 1 |
| EGR-liknande | förhållanden | 1 |
| förhållanden | undersöka | 1 |
| samt | undersöka | 1 |
| att | är | 1 |
| undersöka | . | 0 |
| olika | faktorers | 1 |
| faktorers | inverkan | 1 |
| på | slitaget | 1 |
| slitaget | undersöka | 1 |
| . | . | 0 |
| En | används | 1 |
| nötningsrigg | används | 1 |
| av | typen | 1 |
| typen | används | 1 |
| pinne-platta | används | 1 |
| används | . | 0 |
| där | en | 1 |
| en | av | 1 |
| av | en | 1 |
| en | kolvring | 1 |
| kolvring | förs | 1 |
| förs | används | 1 |
| fram | över | 1 |
| och | tillbaka | 1 |
| tillbaka | förs | 1 |
| över | en | 1 |
| en | provbit | 1 |
| provbit | från | 1 |
| från | ett | 1 |
| ett | cylinderfoder | 1 |
| cylinderfoder | används | 1 |
| . | . | 0 |
| Kontakten | smörjs | 1 |
| smörjs | . | 0 |
| genom | tillförsel | 1 |
| kontinuerlig | tillförsel | 1 |
| tillförsel | smörjs | 1 |
| av | olja | 1 |
| olja | tillförsel | 1 |
| och | simuleras | 1 |
| EGR-liknande | förhållanden | 1 |
| förhållanden | simuleras | 1 |
| simuleras | . | 0 |
| genom | tillförsel | 1 |
| tillförsel | simuleras | 1 |
| av | sotig | 1 |
| sotig | olja | 1 |
| olja | tillförsel | 1 |
| och | syra | 1 |
| syra | tillförsel | 1 |
| . | . | 0 |

The average dependency distance is 269/222=1.21
