| Word | Head | Distance |
|---|---|---|
| Jean-Baptiste | Lully | 3 |
| Lully | var | 1 |
| var | en | 1 |
| en | florentinare | 1 |
| florentinare | som | 1 |
| som | efter | 1 |
| efter | sin | 1 |
| sin | ankomst | 1 |
| ankomst | till | 1 |
| till | Frankrike | 1 |
| Frankrike | kom | 1 |
| kom | att | 1 |
| att | dominera | 1 |
| dominera | musiklivet | 1 |
| musiklivet | i | 1 |
| i | landet | 1 |
| Lully | utvecklade | 1 |
| utvecklade | recitativ | 1 |
| recitativ | genom | 1 |
| genom | att | 1 |
| att | modellera | 1 |
| modellera | musiken | 1 |
| musiken | på | 1 |
| på | den | 1 |
| den | franska | 1 |
| franska | språkmelodin | 1 |
| språkmelodin | med | 1 |
| med | noggrann | 1 |
| noggrann | rytm | 1 |
| och | intonation | 1 |
| Lullys | orkestrering | 1 |
| orkestrering | utvecklades | 1 |
| utvecklades | i | 1 |
| i | en | 1 |
| en | bravurform | 1 |
| bravurform | med | 1 |
| med | femstämmig | 1 |
| femstämmig | struktur | 1 |
| Omväxlande | långsamma | 1 |
| långsamma | och | 1 |
| och | snabba | 1 |
| snabba | tempo | 1 |
| tempo | med | 1 |
| med | fugativo | 1 |
| fugativo | form | 1 |
| form | kom | 1 |
| kom | att | 1 |
| att | stå | 1 |
| stå | för | 1 |
| för | en | 1 |
| en | fransk | 1 |
| fransk | uvertyr | 1 |

Average dependency distance = 362 / 118 = 3.07
