| Token | Head | Distance |
|---|---|---|
| Redovisade | resultat | 1 |
|  | , | 1 |
| resultat | visar | 2 |
| visar | emissioner | 3 |
| , | emissioner | 1 |
| värmefrigörelse | visar | 2 |
|  | och | 1 |
| cylindertryckskurvor | visar | 2 |
|  | vid | 1 |
| körning | vid | 1 |
|  | med | 1 |
| DDF | med | 1 |
| . | Redovisade | 2 |
| Litteraturstudien | visade | 2 |
|  | att | 1 |
| den | forskningen | 1 |
| mesta | forskningen | 1 |
| forskningen | gjorts | 1 |
|  | med | 1 |
| tunga | dieselmotorer | 2 |
| dieselmotorer | gjorts | 1 |
| . | Litteraturstudien | 3 |
| Forskningsrapporterna | beskriver | 1 |
|  | som | 1 |
| redovisas | beskriver | 1 |
| beskriver | huvudsakliga | 1 |
| huvudsakliga | intresseområdena | 1 |
|  | inom | 1 |
| DDF-teknologin | intresseområdena | 1 |
| Dessa | inkluderar | 1 |
|  | ; | 1 |
| insprutningsstrategier | inkluderar | 1 |
|  | , | 1 |
| diesel/naturgas-förhållande | inkluderar | 1 |
| , | diesel/naturgas-förhållande | 1 |
| låglastegenskaper | inkluderar | 1 |
| knack | inkluderar | 1 |
| emissionsnivåer | inkluderar | 1 |
| dieselinsprutarens | påverkan | 1 |
| utförandes | påverkan | 1 |
| påverkan | inkluderar | 1 |
|  | på | 1 |
| förbränningen | påverkan | 1 |
| . | Forskningsrapporterna | 3 |

The average dependency distance is 116/29 = 4.
