| Token | Head | Distance |
|---|---|---|
| Den | klar | 5 |
| blev | klar | 2 |
| aldrig | blev | 1 |
| riktig | klar | 3 |
| för | var | 4 |
| att | var | 3 |
| den | varit | 3 |
| då | skulle | 2 |
| skulle | varit | 1 |
| varit | lika | 1 |
| lika | stor | 2 |
| stor | som | 1 |
| som | en | 1 |
| en | fotbollsplan | 1 |
| Själva | ideér | 4 |
| grundidén | var | 3 |
| var | framlagd | 1 |
| nu | framlagd | 2 |
| framlagd | hade | 1 |
| men | tyckte | 2 |
| folk | tyckte | 1 |
| tyckte | att | 2 |
| att | var | 3 |
| Babbage | var | 2 |
| var | galen | 1 |
| galen | som | 2 |
| som | hade | 1 |
| hade | ideér | 1 |
| dessa | ideér | 1 |
| ideér | hade | 1 |
| Utvecklingen | stannat | 3 |
| hade | stannat | 2 |
| nu | stannat | 1 |
| stannat | upp | 1 |
| upp | bit | 1 |
| en | bit | 1 |
| liten | bit | 1 |
| bit | stannat | 1 |
| Andra | världen | 2 |
| världskriget | började | 1 |
| började | att | 2 |
| att | ta | 1 |
| ta | fart | 1 |
| fart | på | 1 |
| på | lite | 1 |
| lite | började | 1 |
| började | datorn | 1 |
| datorn | utveckling | 1 |
| utveckling | skynde | 1 |
| skynde | lite | 1 |
| lite | skynde | 1 |
| på | skynde | 1 |
| Anledningen | behöves | 4 |
| var | behöves | 3 |
| behöves | till | 2 |
| till | kanonerna | 1 |
| kanonerna | skulle | 1 |
| skulle | skjuta | 1 |
| skjuta | efter | 1 |
| efter | tid | 1 |
| en | tid | 1 |
| viss | tid | 1 |
| tid | skjuta | 1 |
| då | kom | 2 |
| kom | till | 1 |
| till | användning | 1 |
| användning | kom | 1 |

Average dependency distance: 105/72 = 1.46
