| Token | Head | Dependency Distance |
|---|---|---|
| En | lyftanordning | 1 |
| lyftanordning | utvecklades | 1 |
| med | frihetsgrader | 1 |
| tre | frihetsgrader | 1 |
| frihetsgrader | anpassad | 1 |
| anpassad | utviklades | 1 |
| för | lyfta | 1 |
| att | lyfta | 1 |
| lyfta | utvecklades | 1 |
| batterier | utvecklades | 1 |
| utvecklades | byggdes | 1 |
| byggdes | testades | 1 |
| testades | utvecklades | 1 |
| Den | lyftanordningen | 1 |
| utvecklade | lyftanordningen | 1 |
| lyftanordningen | består | 1 |
| består | utvecklades | 1 |
| av | moduler | 1 |
| tre | moduler | 1 |
| moduler | består | 1 |
| en | ram | 1 |
| ram | fästs | 1 |
| som | ram | 1 |
| fästs | påbörjas | 1 |
| i | batterienhet | 1 |
| respektive | batterienhet | 1 |
| batterienhet | fästs | 1 |
| i | basstationen | 1 |
| basstationen | fästs | 1 |
| innan | påbörjas | 1 |
| påbörjas | fästs | 1 |
| en | korg | 1 |
| korg | ligger | 1 |
| som | korg | 1 |
| batteriet | ligger | 1 |
| ligger | påbörjas | 1 |
| i | lyftet | 1 |
| lyftet | ligger | 1 |
| samt | vagn | 1 |
| en | vagn | 1 |
| vagn | transporteras | 1 |
| som | vagn | 1 |
| batterierna | transporteras | 1 |
| transporteras | utvecklades | 1 |
| på | stationens | 1 |
| telekomstationens | batterienhet | 1 |
| batterienhet | transporteras | 1 |
| Systemet | medför | 1 |
| medför | utvecklades | 1 |
| att | lyftas | 1 |
| batterierna | lyftas | 1 |
| ej | lyftas | 1 |
| behöver | lyftas | 1 |
| lyftas | medför | 1 |
| efter | placerats | 1 |
| de | placerats | 1 |
| placerats | medför | 1 |
| på | batterivagnen | 1 |
| batterivagnen | placerats | 1 |

Average dependency distance: 116/100 = 1.16
