| Word | Head | Distance |
|---|---|---|
| Allt | kretsar | 1 |
| kretsar | in | 2 |
| in | och | 3 |
| och | ut | 4 |
| ut | från | 5 |
| från | moderkortet | 1 |
| Alla | ingångar | 1 |
| ingångar | och | 2 |
| och | utgångar | 3 |
| utgångar | går | 1 |
| via | moderkortet | 1 |
| Det | vill | 1 |
| vill | säga | 2 |
| säga | att | 3 |
| att | både | 4 |
| både | tangentbord | 1 |
| tangentbord | , | 2 |
| , | ljud | 3 |
| ljud | , | 4 |
| , | mus | 5 |
| mus | och | 6 |
| och | så | 7 |
| så | alla | 8 |
| alla | övriga | 9 |
| övriga | kort | 10 |
| är | kopplade | 1 |
| via | moderkortet | 1 |
| Fast | processorn | 1 |
| processorn | och | 2 |
| och | RAM-minnet | 3 |
| RAM-minnet | är | 4 |
| till | skillnad | 1 |
| skillnad | från | 2 |
| från | den | 3 |
| den | övriga | 4 |
| övriga | utrustningen | 5 |
| utrustningen | fastsatta | 1 |
| fastsatta | på | 2 |
| på | moderkortet | 1 |
| De | sitter | 1 |
| sitter | där | 2 |
| för | kunna | 1 |
| kunna | hantera | 2 |
| hantera | informationen | 1 |
| informationen | som | 2 |
| som | kommer | 3 |
| kommer | från | 4 |
| från | datorns | 1 |
| datorns | olika | 2 |
| olika | delar | 3 |
| delar | , | 4 |
| , | kort | 5 |
| kort | och | 6 |
| och | annan | 7 |
| annan | utrustning | 1 |
| Moderkortet | har | 1 |
| har | ytterligare | 2 |
| ytterligare | en | 3 |
| en | viktig | 4 |
| viktig | funktion | 5 |
| . | | 0 |

Average dependency distance = 168/58 = 2.90
