| Token | Head | Dependency Distance |
| ----------- | ----------- | ----------- |
| När | stängs | 1 |
| vallokalen | stängs | 1 |
| stängs | gäller | 2 |
| gäller | räkna | 3 |
| det | räkna | 2 |
| att | räkna | 3 |
| räkna | ut | 4 |
| ut | resultatet | 5 |
| valresultatet | gäller | 2 |
| Vid | blir | 1 |
| midnatten | blir | 1 |
| blir | klart | 2 |
| allt | blir | 1 |
| klart | med | 3 |
| med | valet | 4 |
| valet | blir | 1 |
| och | rapporterar | 2 |
| sedan | rapporterar | 1 |
| rapporterar | ut | 3 |
| man | rapporterar | 2 |
| hur | ser | 4 |
| valresultatet | ser | 4 |
| ser | ut | 5 |
| ut | rapporterar | 2 |
| Vi | har | 1 |
| har | kallas | 2 |
| också | har | 1 |
| något | kallas | 2 |
| som | kallas | 2 |
| kallas | proportionella | 3 |
| proportionella | val | 4 |
| val | kallas | 2 |
| Det | innebär | 1 |
| innebär | att | 2 |
| att | får | 3 |
| man | får | 2 |
| många | får | 2 |
| procent | får | 2 |
| av | får | 2 |
| platserna | får | 2 |
| i | får | 2 |
| riksdagen | får | 2 |
| som | får | 2 |
| på | får | 2 |
| valet | får | 2 |
| Vi | har | 1 |
| har | politiker | 2 |
| 349 | politiker | 1 |
| politiker | har | 1 |
| i | har | 1 |
| riksdagen | har | 1 |
| alltså | har | 1 |
| har | mandat | 2 |
| vi | har | 1 |
| 349 | mandat | 1 |
| mandat | har | 1 |
| i | har | 1 |
| riksdagen | har | 1 |
| I | fördelas | 1 |
| riksdagen | fördelas | 1 |
| fördelas | mandat | 2 |
| mandat | fördelas | 1 |
| beroende | fördelas | 2 |
| på | fördelas | 2 |
| hur | röstar | 3 |
| människorna | röstar | 2 |
| röstar | fördelas | 1 |
| på | röstar | 2 |
| valet | röstar | 2 |

The average dependency distance is 2.03.
