| Word | Head | Distance |
|---|---|---|
| Vi | vill | 1 |
| vill | tacka | 1 |
| tacka | , | 1 |
| , | för | 1 |
| för | handledning | 2 |
| handledning | och | 1 |
| och | hjälp | 1 |
| hjälp | under | 2 |
| under | arbetets | 3 |
| arbetets | gång | 2 |
| gång | samt | 1 |
| samt | tacka | 1 |
| tacka | vår | 1 |
| vår | bihandledare | 2 |
| bihandledare | Bert | 1 |
| Bert | Norlin | 1 |
| Norlin | , | 1 |
| , | Vi | 1 |
| Vi | vill | 1 |
| vill | också | 1 |
| också | tacka | 1 |
| tacka | Karin | 1 |
| Karin | Ståhl | 1 |
| Ståhl | och | 1 |
| och | Allan | 1 |
| Allan | Leveau | 1 |
| Leveau | på | 1 |
| på | Svenska | 1 |
| Svenska | Bostäder | 1 |
| Bostäder | för | 1 |
| för | diskussioner | 2 |
| diskussioner | , | 1 |
| , | hjälp | 1 |
| hjälp | och | 1 |
| och | deltagande | 1 |
| deltagande | i | 1 |
| i | detta | 1 |
| detta | arbete | 1 |
| arbete | , | 1 |
| , | samt | 1 |
| samt | tacka | 1 |
| tacka | Mats | 1 |
| Mats | Åhlander | 1 |
| Åhlander | för | 1 |
| för | bistånd | 2 |
| bistånd | vid | 2 |
| vid | bland | 1 |
| bland | annat | 1 |
| annat | studiebesök | 2 |
| studiebesök | . | 1 |

Average dependency distance: 48/39 = 1.23
