| Token | Head | Dependency Distance |
|---|---|---|
| Till | kom | 2 |
| Sverige | kom | 1 |
| kom | blev | 1 |
| sporten/hobbyn | kom | 1 |
| under | kom | 2 |
| 1700-talet | kom | 2 |
| och | blev | 2 |
| blev | en | 1 |
| efter | blev | 2 |
| ett | tag | 1 |
| tag | en | 2 |
| en | söndagshobby | 1 |
| söndagshobby | Men | 2 |
| Men | kom | 3 |
| den | kom | 1 |
| kraftigaste | ökningen | 1 |
| ökningen | kom | 1 |
| utövare | kom | 1 |
| kom | på | 2 |
| på | 80-talet | 1 |
| 80-talet | började | 2 |
| då | började | 3 |
| allt | började | 1 |
| fler | började | 1 |
| yngre | började | 1 |
| började | fiska | 1 |
| fiska | är | 2 |
| Nu | är | 3 |
| på | är | 3 |
| 2000-talet | är | 3 |
| den | är | 1 |
| en | större | 1 |
| större | fiskegrenarna | 1 |
| fiskegrenarna | i | 2 |
| i | fiske | 1 |
| fiske | . | 1 |
| . | Utrustning | 2 |
| Utrustning | Flugfiske | 1 |
| Flugfiske | har | 1 |
| har | ett | 1 |
| ett | rykte | 1 |
| rykte | om | 2 |
| om | sig | 1 |
| sig | , | 1 |
| , | att | 2 |
| att | vara | 1 |
| vara | en | 1 |
| en | sport/hobby | 1 |
| sport/hobby | , | 1 |
| , | men | 2 |
| men | det | 1 |
| det | är | 1 |
| är | fel | 1 |
| fel | . | 1 |
| . | Flugfiske | 2 |
| Flugfiske | blir | 1 |
| blir | vad | 2 |
| vad | man | 1 |
| man | gör | 1 |
| gör | det | 1 |
| det | till | 1 |
| till | ! | 1 |
| ! | Vill | 2 |
| Vill | man | 1 |
| man | köpa | 1 |
| köpa | fem | 1 |
| fem | rullar | 1 |
| rullar | och | 2 |
| och | tio | 1 |
| tio | spön | 1 |
| spön | så | 2 |
| så | får | 2 |
| får | man | 1 |
| man | ha | 1 |
| ha | det | 1 |
| det | , | 1 |
| , | men | 2 |
| men | det | 1 |
| det | behövs | 1 |
| behövs | inte | 1 |
| inte | . | 1 |

The average dependency distance is 1.73.
