| Word | Head | Dependency Distance |
|---|---|---|
| Detta | betyder | 1 |
| betyder | inte | 2 |
| dock | betyder | 3 |
| inte | har | 4 |
| andra | samhällsgrupper | 1 |
| samhällsgrupper | inte | 5 |
| inte | har | 6 |
| har | sympatier | 7 |
| för | nazismen | 1 |
| t | nazismen | 2 |
| ex | nazismen | 3 |
| nazismen | förekommer | 4 |
| Självklart | förekommer | 5 |
| förekommer | det | 6 |
| det | även | 7 |
| även | förekommer | 8 |
| i | dessa | 1 |
| dessa | förekommer | 9 |
| Nazismen | är | 1 |
| är | inte | 2 |
| inte | alls | 3 |
| alls | lik | 4 |
| den | rasism | 1 |
| rasism | som | 2 |
| som | råder | 3 |
| råder | idag | 1 |
| idag | är | 2 |
| Det | är | 1 |
| är | saker | 2 |
| två | saker | 1 |
| helt | skilda | 1 |
| skilda | saker | 2 |
| saker | är | 3 |
| Rasismen | finns | 1 |
| finns | oberoende | 2 |
| oberoende | av | 3 |
| av | rörelser | 1 |
| politiska | rörelser | 1 |
| rörelser | oberoende | 4 |
| och | partier | 1 |
| partier | oberoende | 5 |
| den | är | 1 |
| är | bland | 2 |
| bland | bland | 1 |
| bland | oss | 2 |
| oss | är | 3 |
| hela | tiden | 1 |
| tiden | är | 2 |
| Det | som | 1 |
| som | indetifierar | 2 |
| indetifierar | rasismen | 3 |
| rasismen | är | 4 |
| den | agendan | 1 |
| främlingsfientliga | agendan | 1 |
| agendan | som | 2 |
| som | indetifierar | 3 |
| rasismen | är | 5 |
| och | motståndet | 1 |
| motståndet | som | 2 |
| som | indetifierar | 3 |
| rasismen | är | 6 |
| till | invandring | 1 |
| invandring | motståndet | 2 |
| som | indetifierar | 4 |
| rasismen | är | 7 |
| Man | vill | 1 |
| vill | stoppa | 2 |
| det | samhället | 1 |
| så | kallade | 1 |
| kallade | samhället | 2 |
| mångkulturella | samhället | 1 |
| samhället | vill | 3 |
| stoppa | vill | 4 |

The average dependency distance is 2.40
