| Word | Head | Dependency Distance |
|---|---|---|
| Idag | är | 1 |
| är | vana | 2 |
| vi | vana | 1 |
| vana | vid | 2 |
| vid | begreppet | 3 |
| begreppet | resecentrum | 1 |
| resecentrum | som | 2 |
| som | ska | 3 |
| med | utbud | 2 |
| stort | utbud | 1 |
| utbud | av | 2 |
| av | service | 3 |
| service | i | 2 |
| i | anslutning | 3 |
| anslutning | till | 2 |
| till | plattformar | 3 |
| plattformar | ska | 2 |
| ska | kunna | 3 |
| kunna | tillgodose | 4 |
| tillgodose | behoven | 3 |
| behoven | resenärernas | 2 |
| resenärernas | i | 2 |
| i | samband | 3 |
| samband | med | 2 |
| med | deras | 3 |
| deras | resa | 2 |
| De | riktar | 1 |
| ofta | miljöerna | 2 |
| miljöerna | riktar | 1 |
| riktar | in | 2 |
| in | sig | 3 |
| sig | på | 2 |
| på | kommers | 3 |
| kommers | mot | 2 |
| mot | målgruppen | 3 |
| målgruppen | köpstarka | 2 |
| köpstarka | individer | 1 |
| men | som | 2 |
| som | spenderar | 3 |
| kanske | spenderar | 2 |
| inte | spenderar | 3 |
| spenderar | så | 4 |
| så | mycket | 2 |
| mycket | tid | 2 |
| tid | på | 2 |
| på | platsen | 3 |
| . | Idag | 0 |

Average dependency distance: 115/104 = 1.11
