| Token | Head | Distance |
|---|---|---|
| Det | sägs | 1 |
| sägs | att | 1 |
| att | vi | 1 |
| vi | blir | 1 |
| blir | jämlikt | 1 |
| jämlikt | behandlad | 1 |
| Jag | tycker | 1 |
| tycker | att | 1 |
| att | det | 1 |
| det | är | 1 |
| är | bra | 1 |
| bra | att | 1 |
| att | man | 1 |
| man | röstar | 1 |
| röstar | efter | 1 |
| efter | man | 1 |
| man | är | 1 |
| är | 18 | 1 |
| 18 | år | 1 |
| år | eftersom | 1 |
| eftersom | då | 1 |
| då | börjar | 1 |
| börjar | man | 1 |
| man | tänka | 1 |
| tänka | på | 1 |
| på | ett | 1 |
| ett | vuxensätt | 1 |
| Om | man | 1 |
| man | var | 1 |
| var | 16 | 1 |
| 16 | år | 1 |
| år | och | 1 |
| och | röstar | 1 |
| röstar | så | 1 |
| så | är | 1 |
| är | man | 1 |
| man | ändå | 1 |
| ändå | inte | 1 |
| inte | mogen | 1 |
| mogen | och | 1 |
| och | är | 1 |
| är | fortfarande | 1 |
| fortfarande | ungdom | 1 |
| Det | är | 1 |
| är | den | 1 |
| den | yttersta | 1 |
| yttersta | tecken | 1 |
| tecken | på | 1 |
| på | att | 1 |
| att | vi | 1 |
| vi | lever | 1 |
| lever | i | 1 |
| i | ett | 1 |
| ett | demokrati | 1 |
| demokrati | land | 1 |
| land | är | 1 |
| är | att | 1 |
| att | vi | 1 |
| vi | röstar | 1 |
| röstar | vart | 1 |
| vart | fjärde | 1 |
| fjärde | år | 1 |
| år | . | 1 |

Average dependency distance = 106/105 = 1.01
