| Token | Head | Distance |
|---|---|---|
| The | number | 1 |
| number | of | 1 |
| of | experts | 1 |
| experts | responsible | 1 |
| responsible | for | 1 |
| for | different | 1 |
| different | parts | 1 |
| parts | of | 1 |
| of | the | 1 |
| the | design | 1 |
| , | should | 1 |
| however | should | 1 |
| should | be | 1 |
| be | kept | 1 |
| kept | to | 1 |
| to | a | 1 |
| a | minimum | 1 |
| . | ROOt | 0 |

**Average dependency distance:** (1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 0) / 20 = **1.05**
