| Token | Head | Distance |
|---|---|---|
| Med | belyses | 2 |
| andra | belyses | 3 |
| ord | belyses | 4 |
| belyses | belyses | 0 |
| de | belyses | 1 |
| därmed | belyses | 2 |
| endast | belyses | 3 |
| från | belyses | 4 |
| ett | håll | 2 |
| håll | belyses | 3 |
| . | belyses | 4 |
| En | är | 3 |
| av | är | 4 |
| huvudpersonerna | är | 5 |
| i | är | 6 |
| boken | är | 7 |
| är | är | 0 |
| Klerk | är | 1 |
| ( | är | 2 |
| Hans | Immanuel | 3 |
| Immanuel | Klerk | 4 |
| Klerk | Immanuel | 5 |
| ) | är | 6 |
| , | är | 7 |
| han | är | 8 |
| är | är | 9 |
| enögd | är | 10 |
| och | försörjer | 11 |
| försörjer | försörjer | 0 |
| sig | försörjer | 1 |
| som | försörjer | 2 |
| slaktare | försörjer | 3 |
| . | försörjer | 4 |
| Hans | utseende | 5 |
| utseende | utseende | 0 |
| är | utseende | 1 |
| ungefär | lika | 3 |
| lika | utseende | 2 |
| lugubert | utseende | 3 |
| som | uppförande | 4 |
| hans | uppförande | 5 |
| uppförande | utseende | 6 |
| , | utseende | 7 |
| stor | ansikte | 10 |
| och | ansikte | 11 |
| kraftig | ansikte | 12 |
| med | hårväxt | 13 |
| grov | hårväxt | 14 |
| svart | hårväxt | 15 |
| hårväxt | ansikte | 16 |
| och | ansikte | 17 |
| ett | ansikte | 18 |
| nästintill | ansikte | 19 |
| demolerat | ansikte | 20 |
| ansikte | utseende | 21 |
| . | utseende | 22 |
| Mycket | tomma | 24 |
| pga | tomma | 25 |
| den | tomma | 26 |
| skrämmande | tomma | 27 |
| tomma | ansikte | 28 |
| ögongropen | tomma | 29 |
| och | ögonbrynen | 30 |
| de | ögonbrynen | 31 |
| buskiga | ögonbrynen | 32 |
| nästan | ihopväxta | 33 |
| ihopväxta | ögonbrynen | 34 |
| ögonbrynen | ansikte | 35 |
| . | utseende | 36 |
| Klerks | språk | 38 |
| språk | språk | 0 |
| kan | språk | 1 |
| uppfattas | språk | 2 |
| som | vulgärt | 4 |
| mycket | vulgärt | 3 |
| vulgärt | språk | 5 |
| och | rädd | 6 |
| han | rädd | 7 |
| är | rädd | 8 |
| långt | rädd | 9 |
| ifrån | rädd | 10 |
| rädd | rädd | 0 |
| för | svordomar | 12 |
| att | svordomar | 13 |
| ta | svordomar | 14 |
| till | svordomar | 15 |
| diverse | svordomar | 16 |
| svordomar | rädd | 17 |
| . | rädd | 18 |

The average dependency distance is 166/101 = 1.64.
