| Word | Head | Dependency Distance |
|---|---|---|
| Mäns | våld | 3 |
| våld | drabbar | 1 |
| mot | våld | 1 |
| kvinnor | våld | 1 |
| eller | våld | 1 |
| mäns | våld | 3 |
| våld | drabbar | 1 |
| i | våld | 1 |
| allmänhet | våld | 1 |
| drabbar | alla | 1 |
| alla | drabbar | 0 |
| Visst | finns | 1 |
| finns | det | 1 |
| det | kvinnor | 2 |
| kvinnor | som | 2 |
| som | är | 1 |
| är | våldsamma | 1 |
| våldsamma | kvinnor | 1 |
| men | proportioner | 1 |
| proportioner | våldets | 1 |
| våldets | hos | 1 |
| hos | män | 1 |
| män | proportioner | 1 |
| gör | vi | 1 |
| vi | måste | 1 |
| måste | ta | 1 |
| ta | det | 1 |
| det | ta | 0 |
| på | allvar | 1 |
| allvar | ta | 1 |
| och | se | 1 |
| se | det | 1 |
| det | se | 0 |
| som | könsproblem | 1 |
| könsproblem | se | 1 |
| Att | flickor | 1 |
| flickor | ska | 1 |
| ska | lära | 1 |
| lära | sig | 1 |
| sig | lära | 0 |
| självförsvar | lära | 1 |
| handlar | om | 1 |
| om | lära | 1 |
| lära | ut | 1 |
| ut | våld | 1 |
| våld | lära | 1 |
| utan | självförsvar | 1 |
| självförsvar | lära | 1 |
| och | mentala | 1 |
| mentala | även | 1 |
| även | det | 1 |
| det | verbala | 1 |
| verbala | det | 0 |
| som | är | 1 |
| är | mycket | 1 |
| mycket | viktigare | 1 |
| viktigare | som | 1 |
| i | vardag | 1 |
| vardag | många | 1 |
| många | kvinnors | 1 |
| kvinnors | vardag | 1 |

The average dependency distance is 147/42=3.5.
