| Word | Head | Distance |
|---|---|---|
| Finns | det | 2 |
| det | möjlighet | 2 |
| möjlighet | till | 1 |
| till | utveckling | 1 |
| utveckling | av | 1 |
| av | dessa | 1 |
| Är | det | 2 |
| det | möjligt | 2 |
| möjligt | att | 1 |
| att | genom | 1 |
| genom | kombinationer | 1 |
| kombinationer | av | 1 |
| av | kända | 1 |
| kända | lösningar | 1 |
| lösningar | få | 1 |
| få | en | 1 |
| en | mer | 1 |
| mer | långsiktig | 1 |
| långsiktig | lösning | 1 |
| lösning | på | 1 |
| på | fuktproblematiken | 1 |
| fuktproblematiken | i | 1 |
| i | uteluftsventilerade | 1 |
| uteluftsventilerade | krypgrunder | 1 |
| Innan | arbetet | 1 |
| arbetet | slutfördes | 1 |
| slutfördes | fick | 1 |
| fick | jag | 1 |
| jag | jobb | 1 |
| jobb | på | 1 |
| på | konsultfirman | 1 |
| konsultfirman | WSP | 1 |
| WSP | Environmental | 1 |
| Environmental | (tidigare | 1 |
| (tidigare | J&W) | 1 |
| J&W) | och | 1 |
| och | avdelningen | 1 |
| avdelningen | byggnadsfysik | 1 |
| I | mitt | 1 |
| mitt | arbete | 1 |
| arbete | som | 1 |
| som | konsult | 1 |
| konsult | har | 1 |
| har | jag | 1 |
| jag | fått | 1 |
| fått | användning | 1 |
| användning | av | 1 |
| av | de | 1 |
| de | kunskaper | 1 |
| kunskaper | jag | 1 |
| jag | fått | 1 |
| fått | genom | 1 |
| genom | utförandet | 1 |
| utförandet | av | 1 |
| av | mitt | 1 |
| mitt | examensarbete | 1 |

The average dependency distance is 106/100=1.06.
