| Token | Head | Dependency Distance |
|---|---|---|
| Idag | är | 1 |
| är | omkring | 2 |
| omkring | hälften | 3 |
| hälften | av | 4 |
| av | lagarna | 5 |
| lagarna | omskrivna | 6 |
| . | Idag | 1 |
| År | fick | 2 |
| 1734 | fick | 2 |
| fick | man | 3 |
| man | en | 4 |
| en | avhuggen | 5 |
| avhuggen | tumme | 6 |
| tumme | om | 7 |
| om | man | 8 |
| man | tagit | 9 |
| tagit | för | 10 |
| för | 30 | 11 |
| 30 | daler | 12 |
| daler | , | 13 |
| , | ett | 14 |
| ett | utslaget | 15 |
| utslaget | öga | 16 |
| öga | vid | 17 |
| vid | 50 | 18 |
| 50 | daler | 19 |
| daler | till | 20 |
| till | och | 21 |
| och | ett | 22 |
| ett | brutet | 23 |
| brutet | ben | 24 |
| ben | för | 25 |
| för | 20 | 26 |
| 20 | daler | 27 |
| daler | till | 28 |
| till | . | 29 |
| . | Under | 1 |
| Under | 30 | 2 |
| 30 | daler | 3 |
| daler | fick | 4 |
| fick | man | 5 |
| man | betala | 6 |
| betala | böter | 7 |
| böter | och | 8 |
| och | då | 9 |
| då | fick | 10 |
| fick | kungen | 11 |
| kungen | en | 12 |
| en | tredjedel | 13 |
| tredjedel | av | 14 |
| av | beloppet | 15 |
| . | En | 1 |
| En | tillgång | 2 |
| tillgång | blev | 3 |
| blev | det | 4 |
| det | döden | 5 |
| . | År | 1 |
| År | 1910 | 2 |
| 1910 | avrättades | 3 |
| avrättades | den | 4 |
| den | sista | 5 |
| sista | svensken | 6 |
| . | Det | 1 |
| Det | vanligaste | 2 |
| vanligaste | brottet | 3 |
| brottet | förut | 4 |
| förut | var | 5 |
| var | snatteri | 6 |
| , | en | 7 |
| en | bit | 8 |
| bit | bröd | 9 |
| eller | ett | 10 |
| ett | äpple | 11 |
| kunde | vara | 12 |
| vara | exempel | 13 |
| . | Idag | 1 |
| Idag | är | 2 |
| är | snatteri | 3 |
| snatteri | ett | 4 |
| ett | vanligt | 5 |
| vanligt | brott | 6 |
| . | 8.23 | Average Dependency Distance |
