| Token | Head | Distance |
|---|---|---|
| Från | hade | 3 |
| åren | hade | 2 |
| 1850 | till | 1 |
| till | hade | 1 |
| 1920 | hade | 1 |
| hade | ökat | 1 |
| befolkningen | hade | 1 |
| ökat | hade | 1 |
| från | ökat | 2 |
| 25 | miljoner | 1 |
| miljoner | ökat | 1 |
| till | ökat | 2 |
| 106 | miljoner | 1 |
| miljoner | ökat | 1 |
| När | hade | 2 |
| första | världskriget | 1 |
| världskriget | startade | 1 |
| startade | hade | 1 |
| 1914 | startade | 1 |
| sa | hade | 2 |
| presidenten | sa | 1 |
| Woodrow | Wilson | 1 |
| Wilson | sa | 1 |
| att | sa | 1 |
| USA | ska | 1 |
| ska | sa | 1 |
| hålla | ska | 1 |
| sig | hålla | 1 |
| neutralt | hålla | 1 |
| Men | förklarade | 1 |
| år | förklarade | 1 |
| 1917 | förklarade | 1 |
| förklarade | bidrog | 1 |
| USA | bidrog | 1 |
| bidrog | fick | 1 |
| till | bidrog | 1 |
| dom | fick | 1 |
| allierade | fick | 1 |
| fick | fanns | 1 |
| övertaget | fick | 1 |
| I | finns | 2 |
| USA:s | historia | 1 |
| historia | finns | 1 |
| det | finns | 1 |
| en | depression | 1 |
| stor | depression | 1 |
| ekonomisk | depression | 1 |
| depression | finns | 1 |
| som | ägde | 1 |
| ägde | finns | 1 |
| rum | ägde | 1 |
| på | ägde | 2 |
| 1920- | talet | 1 |
| talet | ägde | 1 |
| Den | kallas | 1 |
| perioden | kallas | 1 |
| kallas | fanns | 2 |
| för | kallas | 1 |
| ``den | depressionen´´ | 1 |
| stora | depressionen´´ | 1 |
| depressionen´´ | kallas | 2 |

Average dependency distance: 168 / 50 = 3.36
