| Token | Head | Dependency Distance |
|---|---|---|
| Besöker | 0 | 0 |
| du | Besöker | 1 |
| en | sida | 1 |
| sida | Besöker | 2 |
| om | exempel | 1 |
| exempel | sida | 2 |
| antivirus | program | 1 |
| program | Besöker | 3 |
| kan | hända | 1 |
| hända | Besöker | 2 |
| det | kommer | 1 |
| kommer | hända | 2 |
| upp | kommer | 3 |
| ett | fönster | 1 |
| fönster | kommer | 2 |
| som | tipsar | 1 |
| tipsar | kommer | 2 |
| om | program | 1 |
| program | tipsar | 2 |
| andra | program | 1 |
| program | tipsar | 2 |
| Om | hända | 1 |
| det | är | 1 |
| är | Om | 2 |
| inte | är | 1 |
| ”snällt” | spyware | 1 |
| spyware | är | 2 |
| kan | rensa | 1 |
| rensa | kan | 2 |
| personen | kan | 3 |
| i | fall | 1 |
| fall | kan | 2 |
| värsta | fall | 1 |
| fall | kan | 2 |
| ditt | bankkonto | 1 |
| bankkonto | rensa | 2 |
| om | snubblar | 1 |
| snubblar | rensa | 2 |
| över | lösenordet | 1 |
| lösenordet | snubblar | 2 |
| Detta | är | 1 |
| är | Besöker | 2 |
| som | tur | 1 |
| tur | är | 2 |
| är | Besöker | 3 |
| inte | vanligt | 1 |
| vanligt | är | 2 |
| Spyware | kan | 1 |
| kan | Besöker | 2 |
| även |ladda | 1 |
| ladda | kan | 2 |
| ner | ladda | 3 |
| virus | ladda | 4 |
| som | smittar | 1 |
| smittar | virus | 2 |
| din | dator | 1 |
| dator | smittar | 2 |
| utan | vet | 1 |
| vet | smittar | 2 |
| du | vet | 3 |
| det | är | 1 |
| är | Besöker | 2 |
| heller | kul | 1 |
| kul | är | 2 |
| så | föredrar | 1 |
| föredrar | kul | 2 |
| då | föredrar | 3 |
| man | föredrar | 4 |
| nästan | otroligt | 1 |
| otroligt | jobbiga | 1 |
| jobbiga | föredrar | 2 |
| ”pop-upfönstren  ” | föredrar | 3 |

Average dependency distance: 134/108 = 1.24
