| Token | Head | Dependency Distance |
|---|---|---|
| Examensarbetet | har | 1 |
| har | innefattat | 1 |
| även | innefattat | 1 |
| innefattat | en | 1 |
| en | undersökning | 1 |
| undersökning | av | 1 |
| av | hur | 1 |
| hur | skulle | 1 |
| skulle | kunna | 1 |
| kunna | genomföras | 1 |
| genomföras | med | 1 |
| med | Blåtand | 1 |
| . | Examensarbetet | 1 |
| Combra | har | 1 |
| har | arbetat | 1 |
| arbetat | med | 1 |
| med | både | 1 |
| både | Blåtand | 1 |
| och | Blåtand | 1 |
| smartphones | med | 1 |
| med | Blåtand | 1 |
| men | arbetat | 1 |
| aldrig | arbetat | 1 |
| i | tillämpning | 1 |
| tillämpning | . | 1 |
| Då | ingick | 1 |
| ingick | i | 1 |
| i | examensarbetet | 1 |
| examensarbetet | att | 1 |
| att | konstruera | 1 |
| konstruera | en | 1 |
| en | fungerande | 1 |
| fungerande | fysisk | 1 |
| fysisk | prototyp | 1 |
| prototyp | , | 1 |
| , | har | 1 |
| har | detta | 1 |
| detta | medfört | 1 |
| medfört | att | 1 |
| att | examensarbete | 1 |
| examensarbete | varit | 1 |
| varit | av | 1 |
| av | övervägande | 1 |
| övervägande | praktisk | 1 |
| praktisk | karaktär | 1 |
| . | Examensarbete | 1 |
| Speciellt | fokus | 1 |
| fokus | har | 1 |
| har | lagts | 1 |
| lagts | på | 1 |
| på | konstruktionsfasen | 1 |
| konstruktionsfasen | . | 1 |
| Logik | har | 1 |
| har | programmerats | 1 |
| programmerats | på | 1 |
| på | båda | 1 |
| båda | sidorna | 1 |
| sidorna | av | 1 |
| av | Blåtandsgränssnittet | 1 |
| . | Examensarbetet | 1 |

Average dependency distance: 86/59=1.46
