| Word | Head | Distance |
|---|---|---|
| När | blir | 3 |
| befolkningen | ökar | 2 |
| ökar | blir | 1 |
| så | blir | 1 |
| snabbt | blir | 1 |
| blir | flyttar | 2 |
| det | blir | 1 |
| svårt | flyttar | 2 |
| att | odla | 3 |
| odla | flyttar | 2 |
| tillräckligt | odla | 2 |
| mycket | odla | 2 |
| mat | odla | 2 |
| och | flyttar | 1 |
| därför | flyttar | 1 |
| flyttar | får | 3 |
| man | flyttar | 2 |
| in | flyttar | 2 |
| till | flyttar | 2 |
| städerna | flyttar | 2 |
| för | söka | 2 |
| att | söka | 1 |
| söka | får | 3 |
| mat | söka | 2 |
| och | söka | 1 |
| arbete | söka | 2 |
| Eftersom | får | 3 |
| det | finns | 2 |
| finns | får | 2 |
| så | får | 2 |
| många | barn | 2 |
| barn | får | 1 |
| och | barn | 1 |
| ungdomar | barn | 2 |
| får | tillräcklig | 3 |
| de | får | 2 |
| inte | får | 2 |
| tillräcklig | utbildning | 2 |
| utbildning | får | 1 |
| p.g.a. | brist | 3 |
| brist | utbildning | 2 |
| på | brist | 2 |
| lärare | brist | 2 |
| och | brist | 1 |
| resurser | brist | 2 |
| Sjukdomar | minskar | 2 |
| I | minskar | 1 |
| många | länder | 2 |
| länder | minskar | 1 |
| minskar | dog | 4 |
| spridningen | minskar | 1 |
| av | minskar | 1 |
| AIDS/HIV | minskar | 1 |
| när | går | 3 |
| barnen | går | 2 |
| får | går | 2 |
| gå | dog | 4 |
| i | går | 2 |
| skolan | går | 2 |
| År | dog | 2 |
| 2005 | dog | 2 |
| dog | hade | 3 |
| 300 | dog | 2 |
| lärare | dog | 2 |
| och | dog | 1 |
| 85 | dog | 2 |
| % | dog | 2 |
| av | dog | 2 |
| dem | dog | 2 |
| p.g.a. | dog | 3 |
| AIDS | dog | 2 |
| År | hade | 2 |
| 2003 | hade | 2 |
| hade | sjukdomar | 3 |
| ca | hade | 2 |
| 5.6 | hade | 2 |
| miljoner | hade | 2 |
| människor | hade | 2 |
| viruset | hade | 2 |
| i | hade | 2 |
| Sydamerika | hade | 2 |

Average dependency distance: 2.21
