| Token | Head | Dependency Distance |
|---|---|---|
| Flera | år | 1 |
| år | tidigare | 2 |
| tidigare | , | 3 |
| , | år | 4 |
| år | 1484 | 5 |
| 1484 | försökte | 6 |
| försökte | Christofer Columbus | 7 |
| Christofer Columbus | lägga | 8 |
| lägga | fram | 9 |
| fram | sin | 10 |
| sin | idé | 11 |
| idé | om | 12 |
| om | att | 13 |
| att | segla | 14 |
| segla | åt | 15 |
| åt | väst | 16 |
| väst | istället | 17 |
| istället | för | 18 |
| för | öst | 19 |
| öst | för | 20 |
| för | att | 21 |
| att | komma | 22 |
| komma | till | 23 |
| till | Indien | 24 |
| Indien | för | 25 |
| för | den | 26 |
| den | portugisiske | 27 |
| portugisiske | kungen | 28 |
| kungen | . | 29 |
| . | Det | 30 |
| Det | gick | 31 |
| gick | inget | 32 |
| inget | vidare | 33 |
| vidare | där | 34 |
| där | så | 35 |
| så | han | 36 |
| han | försökte | 37 |
| försökte | i | 38 |
| i | Spanien | 39 |
| Spanien | där | 40 |
| där | han | 41 |
| han | lyckades | 42 |
| lyckades | . | 43 |
| . | År | 44 |
| År | 1492 | 45 |
| 1492 | seglade | 46 |
| seglade | han | 47 |
| han | ifrån | 48 |
| ifrån | Spanien | 49 |
| Spanien | och | 50 |
| och | två | 51 |
| två | månader | 52 |
| månader | senare | 53 |
| senare | kom | 54 |
| kom | han | 55 |
| han | fram | 56 |
| fram | till | 57 |
| till | Västindien | 58 |
| Västindien | . | 59 |

The average dependency distance is 30.78/59=0.522.
