| Word | Head | Dependency Distance |
|---|---|---|
| Varje | projekt | 1 |
| projekt | är | 1 |
| är | unikt | 1 |
| och | kravspecifikation | 1 |
| kravspecifikation | varierar | 1 |
| varierar | beroende | 1 |
| beroende | beställaren | 2 |
| på | beställaren | 1 |
| beställaren | , | 1 |
| , | vem | 1 |
| vem | är | 1 |
| är | kvalitetsansvarig | 1 |
| , | kommunala | 1 |
| kommunala | bygginspektören | 1 |
| , | den | 1 |
| den | tillfälliga | 1 |
| tillfälliga | konsultgruppen | 1 |
| och | inblandade | 1 |
| inblandade | entreprenörer | 1 |
| Av | nyfikenhet | 1 |
| nyfikenhet | att | 1 |
| att | förstå | 1 |
| förstå | byggsektorn | 1 |
| byggsektorn | bättre | 1 |
| , | började | 1 |
| började | jag | 1 |
| jag | läsa | 1 |
| läsa | en | 1 |
| en | utbildning | 1 |
| , | Projekteringsledning | 1 |
| Projekteringsledning | i | 1 |
| i | byggprocessen | 1 |
| och | detta | 1 |
| detta | arbete | 1 |
| arbete | är | 1 |
| är | en | 1 |
| en | del | 1 |
| del | av | 1 |
| av | den | 1 |
| den | utbildningen | 1 |
| . | null | 0 |

Average dependency distance: 68/68 = 1
