| Token | Head | Dependency Distance |
|---|---|---|
| Bilaga | består | 2 |
| 4.5 | består | 2 |
| består | består | 0 |
| av | består | 1 |
| en | sammanfattning | 1 |
| sammanfattning | består | 1 |
| av | tabellerna | 1 |
| tabellerna | sammanfattning | 1 |
| I | har | 2 |
| den | har | 1 |
| har | består | 1 |
| jag | tagit | 1 |
| endast | tagit | 1 |
| tagit | har | 1 |
| med | tagit | 1 |
| totalsumman | tagit | 1 |
| samt | markeringen | 1 |
| markeringen | tagit | 1 |
| av | de | 2 |
| de | markeringen | 1 |
| tre | högsta | 1 |
| högsta | de | 1 |
| talen | markeringen | 1 |
|. | markeringen | 0 |

Average dependency distance: 16/19 = 0.84
