| Token | Head | Dependency Distance |
|---|---|---|
| Mina | funderingar | 1 |
| funderingar | kring | 1 |
| kring | emigreringen | 1 |
| emigreringen | är | 1 |
| är | 1. | 1 |
| 1. | Vilka | 1 |
| Vilka | individer | 1 |
| individer | var | 1 |
| var | det | 1 |
| det | som | 1 |
| som | utvandrade | 1 |
| utvandrade | ? | 1 |
| Och | när | 1 |
| när | utvandrade | 1 |
| utvandrade | folk | 1 |
| folk | som | 1 |
| som | mest | 1 |
| mest | ? | 1 |
| 2. | Hur | 1 |
| Hur | tog | 1 |
| tog | människorna | 1 |
| människorna | sig | 1 |
| sig | dit | 1 |
| dit | ? | 1 |
| 3. | Varför | 1 |
| Varför | emigrerade | 1 |
| emigrerade | personerna | 1 |
| personerna | till | 1 |
| till | just | 1 |
| just | Amerika | 1 |
| Amerika | ? | 1 |
| 1. | Vilka | 1 |
| Vilka | individer | 1 |
| individer | var | 1 |
| var | det | 1 |
| det | som | 1 |
| som | utvandrade | 1 |
| utvandrade | ? | 1 |
| Främst | Svenskarna | 1 |
| Svenskarna | , | 1 |
| , | och | 1 |
| och | då | 1 |
| då | särskilt | 1 |
| särskilt | i | 1 |
| i | från | 1 |
| från | Götaland | 1 |
| Götaland | och | 1 |
| och | Småland | 1 |
| Småland | . | 1 |
| . | Mellan | 1 |
| Mellan | åren | 1 |
| åren | 1885 | 1 |
| 1885 | och | 1 |
| och | 1889 | 1 |
| 1889 | har | 1 |
| har | störst | 1 |
| störst | i | 1 |
| i | Götaland | 1 |
| Götaland | , | 1 |
| , | och | 1 |
| och | minst | 1 |
| minst | i | 1 |
| i | Norrland | 1 |
| Norrland | . | 1 |

Average dependency distance = 152 / 101 = 1.5
