| Token | Head | Dependency Distance |
|---|---|---|
| Med | tänkte | 3 |
| guld | näsan | 2 |
| framför | näsan | 2 |
| näsan | tänkte | 1 |
| tänkte | han | 1 |
| han | spred | 2 |
| att | tänkte | 2 |
| det | finns | 1 |
| kanske | finns | 2 |
| finns | tänkte | 1 |
| en | väg | 2 |
| annan | väg | 1 |
| väg | ta | 1 |
| och | ta | 2 |
| ta | började | 1 |
| sig | ta | 1 |
| det | var | 1 |
| var | började | 1 |
| så | började | 2 |
| portugiserna | började | 1 |
| började | upptäcka | 1 |
| upptäcka | Afrika | 1 |
| Afrika | till | 1 |
| till | sjös | 1 |
| Vem | spred | 1 |
| spred | skräckhistorier | 1 |
| skräckhistorier | om | 2 |
| om | Atlanten | 1 |
| Atlanten | och | 2 |
| och | varför | 2 |
| varför | spred | 1 |
| Fenicierna | hade | 1 |
| hade | varit | 1 |
| varit | de | 1 |
| de | haft | 1 |
| haft | hand | 1 |
| hand | om | 2 |
| om | handeln | 1 |
| handeln | runt | 2 |
| runt | omkring | 1 |
| omkring | Atlanten | 1 |
| De | hade | 1 |
| hade | spridit | 1 |
| spridit | rykten | 1 |
| rykten | om | 2 |
| om | mörkrets | 1 |
| mörkrets | hav | 1 |
| hav | för | 2 |
| för | skydda | 1 |
| skydda | sina | 1 |
| sina | tillgångar | 1 |
| Hur | skulle | 2 |
| skulle | kunna | 2 |
| kunna | bli | 2 |
| bli | billigare | 1 |
| billigare | i | 2 |
| i | Europa | 1 |
| Handel | runt | 2 |
| runt | Asien | 1 |
| Asien | var | 1 |
| var | uppbyggd | 1 |
| uppbyggd | på | 2 |
| på | många | 1 |
| många | händer | 1 |
| händer | och | 2 |
| och | skulle | 2 |
| skulle | känna | 2 |
| känna | på | 2 |
| på | affärerna | 1 |

Average dependency distance: 1.58
