| Token | Head | Distance |
|---|---|---|
| Detta | åstadkommes | 2 |
| åstadkommes | förvanska | 1 |
| utan | förvanska | 1 |
| att | förvanska | 1 |
| förvanska | husets | 1 |
| husets | karaktärsdrag | 1 |
| viktiga | karaktärsdrag | 1 |
| kulturhistoriska | karaktärsdrag | 1 |
| karaktärsdrag | genom | 1 |
| genom | hänsynstagande | 1 |
| ett | hänsynstagande | 1 |
| stort | hänsynstagande | 1 |
| hänsynstagande | till | 1 |
| till | varsamhetskrav | 1 |
| varsamhetskrav | utvärderas | 1 |
| Vidare | utvärderas | 1 |
| utvärderas | om | 1 |
| om | har | 1 |
| har | inverkan | 1 |
| en | inverkan | 1 |
| negativ | inverkan | 1 |
| inverkan | per | 1 |
| per | byggnadsdel | 1 |
| byggnadsdel | ur | 1 |
| ur | fuktsynpunkt | 1 |
| fuktsynpunkt | visas | 1 |
| slutligen | visas | 1 |
| visas | att | 1 |
| att | är | 1 |
| är | motiverade | 1 |
| många | motiverade | 1 |
| av | motiverade | 1 |
| åtgärderna | motiverade | 1 |
| även | motiverade | 1 |
| ur | motiverade | 1 |
| ekonomiskt | perspektiv | 1 |
| perspektiv | är | 1 |

Average dependency distance: 1.5455
