| Token | Head | Distance |
|---|---|---|
| Mamma | - | 0 |
| Lisa | Mamma | 1 |
| tar | Mamma | 1 |
| picknick-korgen | tar | 1 |
| Tojt | - | 0 |
| bär | Tojt | 1 |
| två | stora | 1 |
| stora | filtar | 1 |
| filtar | bär | 1 |
| att | sitta | 1 |
| sitta | bär | 1 |
| på | sitta | 1 |
| och | bär | 1 |
| Bojt | - | 0 |
| får | Bojt | 1 |
| hjälpa | får | 1 |
| pappa | hjälpa | 1 |
| att | bära | 1 |
| bära | hjälpa | 1 |
| metspöna | bära | 1 |
| Sojt | - | 0 |
| får | Sojt | 1 |
| bära | får | 1 |
| en | liten | 1 |
| liten | hink | 1 |
| hink | bära | 1 |
| och | bära | 1 |
| en | spade | 1 |
| spade | bära | 1 |
| " | - | 0 |
| Vad | frågar | 1 |
| ska | ha | 1 |
| vi | ska | 1 |
| ha | till | 1 |
| det | ha | 1 |
| här | till | 1 |
| till | frågar | 1 |
| frågar | - | 0 |
| Sojt | frågar | 1 |
| " | - | 0 |
| Vi | säger | 1 |
| ska | leta | 1 |
| leta | säger | 1 |
| efter | maskar | 1 |
| maskar | leta | 1 |
| säger | - | 0 |
| pappa | säger | 1 |
| Peter | pappa | 1 |
| " | - | 0 |
| Vi | behöver | 1 |
| behöver | säger | 1 |
| metmask | sätta | 1 |
| att | sätta | 1 |
| sätta | behöver | 1 |
| på | krokarna | 1 |
| krokarna | sätta | 1 |
| för | nappa | 1 |
| nappa | sätta | 1 |
| ska | nappa | 1 |
| fiskarna | nappa | 1 |
| De | går | 1 |
| går | - | 0 |
| en | bit | 1 |
| bit | går | 1 |
| innan | kommer | 1 |
| kommer | går | 1 |
| de | kommer | 1 |
| fram | kommer | 1 |
| till | kommer | 1 |
| en | skogssjö | 1 |
| skogssjö | kommer | 1 |
| vacker | skogssjö | 1 |
| med | sandstrand | 1 |
| sandstrand | skogssjö | 1 |
| liten | sandstrand | 1 |
| De | hittar | 1 |
| hittar | - | 0 |
| en | gräsplätt | 1 |
| gräsplätt | hittar | 1 |
| fin | gräsplätt | 1 |
| under | träd | 1 |
| träd | gräsplätt | 1 |
| där | brer | 1 |
| brer | hittar | 1 |
| ut | filtarna | 1 |
| filtarna | brer | 1 |

Average dependency distance: 57/44 = 1.3
