| Word | Head | Dependency Distance |
|---|---|---|
| Tack | vill | 4 |
| också | tack | 1 |
| alla | bidragit | 2 |
| andra | bidragit | 2 |
| som | bidragit | 2 |
| bidragit | har | 3 |
| med | bidragit | 2 |
| idéer | bidragit | 2 |
| och | uppslag | 1 |
| uppslag | bidragit | 2 |
| platschefer | kommit | 3 |
| skyddsombud | kommit | 3 |
| personalavdelningen | kommit | 3 |
| och | kommit | 1 |
| övriga | kommit | 1 |
| jag | kommit | 1 |
| kommit | har | 3 |
| i | kommit | 2 |
| kontakt | kommit | 2 |
| med | kommit | 2 |
| Till | vill | 1 |
| sist | vill | 1 |
| vill | har | 1 |
| jag | vill | 2 |
| rikta | har | 2 |
| ett | tack | 1 |
| tack | rikta | 1 |
| till | rikta | 1 |
| alla | hantverkare | 1 |
| hantverkare | tagit | 1 |
| på | tagit | 2 |
| arbetsplatserna | tagit | 2 |
| som | tagit | 1 |
| tagit | har | 1 |
| sig | tagit | 2 |
| tid | tagit | 2 |
| att | tagit | 2 |
| delta | tagit | 3 |
| i | delta | 2 |
| enkätundersökningen | delta | 3 |
| och | gjort | 1 |
| gjort | möjligt | 2 |
| detta | gjort | 2 |
| arbete | gjort | 2 |
| möjligt | rikta | 2 |

The average dependency distance is 2.13.
