| Word | Head | Distance |
|---|---|---|
| Visserligen | hade | 2 |
| så | hade | 2 |
| hade | fick | 3 |
| Sverige | hade | 2 |
| lite | senare | 2 |
| senare | fick | 3 |
| en | överenskommelse | 2 |
| överenskommelse | fick | 3 |
| med | Nazisterna | 2 |
| Nazisterna | fick | 3 |
| om | fick | 3 |
| att | fick | 3 |
| Sverige | fick | 3 |
| fick | fick | 0 |
| skicka | fick | 3 |
| ut | skicka | 2 |
| bussar | skicka | 2 |
| som | kallades | 2 |
| kallades | kallades | 0 |
| "the white buses" | kallades | 2 |
| Med | åkte | 2 |
| dom | åkte | 2 |
| bussarna | åkte | 2 |
| åkte | hämtade | 3 |
| dom | hämtade | 2 |
| runt | hämtade | 2 |
| och | hämtade | 2 |
| hämtade | hämtade | 0 |
| upp | hämtade | 2 |
| skandinaviska | judar/personer | 2 |
| judar/personer | hämtade | 3 |
| som | satt | 2 |
| satt | satt | 0 |
| i | satt | 2 |
| koncentrastionslägrerna | satt | 2 |
| som | kommer | 2 |
| jag | kommer | 2 |
| kommer | kommer | 0 |
| berätta | kommer | 2 |
| mer | berätta | 2 |
| om | berätta | 2 |
| lite | senare | 2 |
| senare | berätta | 2 |

Average dependency distance = 38/30 = 1.27
