| Token | Head | Dependency Distance |
|---|---|---|
| Många | använda | 3 |
| människor | använda | 2 |
| kan | använda | 1 |
| använda | sänder | 3 |
| samma | nyckel | 1 |
| nyckel | Och | 1 |
| Och | beskriv | 3 |
| det | sänder | 2 |
| sänder | beskriv | 3 |
| det | beskriv | 2 |
| till | beskriv | 3 |
| mottagaren | beskriv | 2 |
| med | beskriv | 3 |
| dessa | nycklar | 1 |
| hemliga | nycklar | 1 |
| nycklar | beskriv | 2 |
| . | beskriv | 1 |
| beskriv | krypteringsprogrammet | 1 |
| krypteringsprogrammet | PGP | 1 |
| PGP | är | 1 |
| är | ett | 1 |
| ett | av | 1 |
| av | populäraste | 1 |
| populäraste | krypteringsprogram | 1 |
| krypteringsprogram | privacy | 1 |
| pretty | privacy | 1 |
| good | privacy | 1 |
| privacy | den | 1 |
| den | arbetar | 1 |
| arbetar | med | 1 |
| med | algoritmer | 1 |
| komplexa | algoritmer | 1 |
| algoritmer | som | 1 |
| som | gör | 1 |
| gör | kan | 1 |
| kan | få | 1 |
| få | en | 1 |
| en | hög | 1 |
| hög | nivå | 1 |
| nivå | av | 1 |
| av | säkerhet | 1 |
| säkerhet | nära | 1 |
| nära | på | 1 |
| på | militära | 1 |
| militära | säkerhets | 1 |
| säkerhets | nivåer | 1 |
| nivåer | programet | 2 |
| programet | kunna | 1 |
| kunna | ge | 1 |
| ge | privatpersoner | 1 |
| privatpersoner | och | 1 |
| och | företag | 1 |
| företag | samma | 1 |
| samma | säkerhet | 1 |

Average dependency distance: 161/100 = 1.61
