| Token | Head | Distance |
|---|---|---|
| Enheter | kan | 2 |
| med | kan | 2 |
| låg | energiförbrukning | 2 |
| energiförbrukning | kan | 2 |
| kan | strömförsörjas | 1 |
| strömförsörjas | räcker | 3 |
| via | strömförsörjas | 2 |
| USB-bussen | strömförsörjas | 2 |
| då | strömförsörjas | 2 |
| det | ingår | 2 |
| ingår | strömförsörjas | 3 |
| en | sladd | 1 |
| ström-jord | sladd | 1 |
| sladd | ingår | 2 |
| i | kontakt | 1 |
| varje | kontakt | 1 |
| kontakt | ingår | 2 |
| på | sätt | 1 |
| 5V | på | 1 |
| på | sätta | 2 |
| sätt | slipper | 3 |
| slipper | har | 2 |
| man | slipper | 2 |
| i | fall | 1 |
| fall | slipper | 2 |
| många | fall | 2 |
| ha | slipper | 2 |
| lösa | transformatorer/nätdelar | 1 |
| transformatorer/nätdelar | ha | 2 |
| till | ha | 2 |
| varje | enhet | 1 |
| enhet | ha | 2 |
| Detta | räcker | 1 |
| räcker | strömförsörjas | 4 |
| förstås | räcker | 2 |
| inte | räcker | 2 |
| till | räcker | 2 |
| en | skrivare | 1 |
| skrivare | räcker | 2 |
| men | mode | 3 |
| till | mode | 2 |
| en | mode | 1 |
| digitalkamera | mode | 2 |
| eller | mode | 2 |
| mode | räcker | 3 |
| är | mode | 2 |
| det | utmärkt | 2 |
| utmärkt | mode | 3 |
| USB | stöd | 1 |
| har | stöd | 1 |
| stöd | innebär | 2 |
| för | stöd | 2 |
| s.k. | "hot-swap" | 1 |
| "hot-swap" | stöd | 2 |
| vilket | innebär | 1 |
| innebär | räcker | 4 |
| att | innebär | 2 |
| man | innebär | 2 |
| under | kan | 3 |
| drift | kan | 2 |
| kan | koppla | 1 |
| koppla | vill | 2 |
| i | koppla | 1 |
| och | kan | 1 |
| ur | koppla | 2 |
| enheter | koppla | 1 |
| som | vill | 1 |
| vill | koppla | 2 |
| utan | behöva | 2 |
| att | behöva | 2 |
| behöva | innebär | 3 |
| stänga | behöva | 2 |
| av | stänga | 2 |
| datorn | stänga | 2 |
| vid | stänga | 2 |
| varje | tillfälle | 1 |
| tillfälle | stänga | 2 |

The average dependency distance is 84/51=1.65.
