| Token | Head | Distance |
|---|---|---|
| Marknaden | studerades | 1 |
| för | studerades | 2 |
| befuktare | studerades | 3 |
| och | granskades | 1 |
| de | granskades | 2 |
| vanligast | granskades | 3 |
| använda | granskades | 4 |
| befuktningsmetoderna | granskades | 5 |
| för | hitta | 1 |
| att | hitta | 2 |
| svagheter | hitta | 3 |
| som | behövde | 1 |
| behövde | åtgärdas | 2 |
| de | är | 1 |
| två | vanligaste | 2 |
| vanligaste | befuktartyperna | 3 |
| är | är | 4 |
| Heated | Humidifier | 1 |
| Humidifier | Humidifier | 1 |
| och | är | 1 |
| Heat | Exchanger | 1 |
| and | Exchanger | 2 |
| den | var | 1 |
| främsta | nackdelen | 2 |
| nackdelen | var | 3 |
| med | var | 4 |
| Heated | Humidifier | 5 |
| var | var | 6 |
| dess | tendens | 1 |
| tendens | var | 2 |
| att | övermätta | 1 |
| övermätta | tendens | 2 |
| luften | övermätta | 3 |
| med | övermätta | 4 |
| kondensutfällning | övermätta | 5 |
| som | nåddes | 1 |
| och | nåddes | 1 |
| med | nåddes | 2 |
| Heat | Exchanger | 3 |
| and | Exchanger | 4 |
| att | nåddes | 5 |
| inte | nåddes | 6 |
| tillräckliga | nivåer | 1 |
| fukt- | nivåer | 2 |
| och | nivåer | 1 |
| temperatur- | nivåer | 2 |
| nivåer | nåddes | 3 |

Average dependency distance: 2.39
