| Token | Head | Distance |
|---|---|---|
| Varför | det | 1 |
| det | återvinns | 1 |
| inte | återvinns | 1 |
| återvinns | beror | 1 |
| beror | på | 1 |
| på | flammskydds- | 1 |
| flammskydds- | medlet | 1 |
| medlet | Varför | 2 |
| Varför | man | 1 |
| man | inte | 1 |
| inte | arbetar | 1 |
| arbetar | med | 1 |
| med | att | 1 |
| att | även | 1 |
| även | försöka | 1 |
| försöka | återvinna | 1 |
| återvinna | flammsäker | 1 |
| flammsäker | plast | 1 |
| plast | har | 1 |
| har | en | 1 |
| en | anledning | 1 |
| Man | hoppas | 1 |
| hoppas | att | 1 |
| att | detta | 1 |
| detta | skall | 1 |
| skall | påverka | 1 |
| påverka | datorföretagen | 1 |
| datorföretagen | så | 1 |
| så | att | 1 |
| att | de | 1 |
| de | börjar | 1 |
| börjar | använda | 1 |
| använda | något | 1 |
| något | annat | 1 |
| annat | miljövänligare | 1 |
| miljövänligare | sätt | 1 |
| sätt | att | 1 |
| att | flammskydda | 1 |
| flammskydda | sina | 1 |
| sina | monitorer | 1 |
| Bilröret | innehåller | 1 |
| innehåller | flera | 1 |
| flera | farliga | 1 |
| farliga | ämnen | 1 |
| ämnen | som | 1 |
| som | sas | 1 |
| sas | tidigare | 1 |
| Man | delar | 1 |
| delar | på | 1 |
| på | bildröret | 1 |
| bildröret | i | 1 |
| i | två | 1 |
| två | delar | 1 |
| delar | bildglaset | 1 |
| bildglaset | den | 1 |
| den | del | 1 |
| del | man | 1 |
| man | ser | 1 |
| ser | utan | 1 |
| utan | att | 1 |
| att | plocka | 1 |
| plocka | isär | 1 |
| isär | monitorn | 1 |
| monitorn | och | 1 |
| och | konen | 1 |

Average dependency distance: 49/39 = 1.26
