| Token | Head | Distance |
|---|---|---|
| Enheter | kan | 4 |
| med | enheter | 3 |
| låg | energiförbrukning | 2 |
| energiförbrukning | kan | 1 |
| kan | strömförsörjas | 1 |
| strömförsörjas | via | 4 |
| via | bussen | 2 |
| bussen | då | 1 |
| då | det | 1 |
| det | ingår | 1 |
| ingår | en | 1 |
| en | sladd | 1 |
| sladd | på | 3 |
| på | kontakt | 2 |
| kontakt | på | 1 |
| på | 5V | 1 |
| 5V | slipper | 3 |
| slipper | man | 1 |
| man | ha | 1 |
| ha | lösa | 1 |
| lösa | transformatorer | 1 |
| transformatorer | till | 1 |
| till | varje | 1 |
| varje | enhet | 1 |
| enhet | Detta | 2 |
| Detta | räcker | 1 |
| räcker | förstås | 1 |
| förstås | inte | 1 |
| inte | till | 1 |
| till | en | 1 |
| en | skrivare | 1 |
| men | är | 2 |
| är | det | 1 |
| det | utmärkt | 1 |
| USB | har | 2 |
| har | stöd | 1 |
| stöd | för | 1 |
| för | "hot-swap" | 1 |
| "hot-swap" | innebär | 1 |
| innebär | att | 1 |
| att | kan | 3 |
| kan | koppla | 1 |
| koppla | i | 1 |
| i | och | 1 |
| och | enheter | 2 |
| enheter | som | 1 |
| som | vill | 1 |
| vill | utan | 4 |
| utan | att | 1 |
| att | behöva | 1 |
| behöva | stänga | 1 |
| stänga | av | 1 |
| av | datorn | 1 |
| datorn | vid | 1 |
| vid | varje | 1 |
| varje | tillfälle | 1 |

Average dependency distance: 218 / 63 = 3.46
