| Word | Head | Dependency distance |
|---|---|---|
| Nigeria | är | 1 |
| är | Nigeria | 0 |
| det | land | 1 |
| land | det | 0 |
| i | Afrika | 1 |
| Afrika | det | 0 |
| som | har | 1 |
| har | land | 0 |
| störst | antal | 1 |
| antal | har | 0 |
| invånare | störst | 0 |
| I | Nigeria | 1 |
| Nigeria | I | 0 |
| bor | det | 1 |
| det | bor | 0 |
| faktiskt | bor | 0 |
| mer | 140 | 1 |
| 140 | mer | 0 |
| miljoner | 140 | 0 |
| människor | befolkningen | 0 |
| Befolkningen | koncentreras | 0 |
| koncentreras | till | 1 |
| till | koncentreras | 0 |
| tre | områden | 1 |
| områden | till | 0 |
| det | sydvästra | 1 |
| sydvästra | områden | 0 |
| yorubaland | det | 0 |
| som | innehåller | 1 |
| innehåller | yorubaland | 0 |
| det | Afrikas | 1 |
| Afrikas | det | 0 |
| subsahariska | Afrikas | 0 |
| två | största | 1 |
| största | två | 0 |
| städer | största | 0 |
| Lagos | städer | 0 |
| och | Ibadan | 1 |
| Ibadan | och | 0 |
| städer | Ibadan | 0 |
| det | östcentrala | 1 |
| östcentrala | områden | 0 |
| igboland | det | 0 |
| samt | savannområdena | 1 |
| savannområdena | samt | 0 |
| i | norr | 1 |
| norr | savannområdena | 0 |
| kring | Kano | 1 |
| Kano | kring | 0 |
| där | befolkningen | 1 |
| befolkningen | där | 0 |
| domineras | befolkningen | 0 |
| av | hausa/fulani | 1 |
| hausa/fulani | av | 0 |
| Ca | hälften | 1 |
| hälften | innehåller | 0 |
| av | nigerianer | 1 |
| nigerianer | av | 0 |
| alla | nigerianer | 0 |
| är | under | 1 |
| under | är | 0 |
| 19 | under | 0 |
| år | 19 | 0 |
| Kvinnor | är | 1 |
| är | Kvinnor | 0 |
| cirka | 50.6 | 1 |
| 50.6 | cirka | 0 |
| % | 50.6 | 0 |
| av | befolkningen | 1 |
| befolkningen | av | 0 |
| och | männen | 1 |
| männen | och | 0 |
| så | är | 1 |
| är | männen | 0 |
| det | 49 | 1 |
| 49 | det | 0 |

Average dependency distance: 301/171=1.76
