| Token | Head | Distance |
|---|---|---|
| Vi | fick | 1 |
| fick | lägga | 1 |
| lägga | upp | 1 |
| upp | vårt | 1 |
| vårt | arbete | 1 |
| arbete | helt | 1 |
| helt | själva | 1 |
| Det | ända | 1 |
| ända | vi | 1 |
| vi | fick | 1 |
| fick | ut | 1 |
| ut | var | 1 |
| var | betygskriterierna | 1 |
| betygskriterierna | för | 1 |
| för | G | 1 |
| G | VG | 1 |
| VG | MVG | 1 |
| Jag | hoppas | 1 |
| hoppas | att | 1 |
| att | ni | 1 |
| ni | som | 1 |
| som | läser | 1 |
| läser | detta | 1 |
| detta | arbete | 1 |
| arbete | ska | 1 |
| ska | uppskatta | 1 |
| uppskatta | det | 1 |
| det | och | 1 |
| och | få | 1 |
| få | ut | 1 |
| ut | lika | 1 |
| lika | mycket | 1 |
| mycket | kunskap | 1 |
| kunskap | av | 1 |
| av | det | 1 |
| det | som | 1 |
| som | jag | 1 |
| jag | har | 1 |
| har | fått | 1 |
| Antiken | ! | 0 |

Average dependency distance: 24/40 = **0.6**
