| Word | Head | Distance |
|---|---|---|
| Arbetet | är | 1 |
| är | ämnat | 1 |
| ämnat | att | 1 |
| att | kunna | 1 |
| kunna | utgöra | 1 |
| utgöra | en | 1 |
| en | plattform | 1 |
| plattform | för | 1 |
| för | en | 1 |
| en | vidare | 1 |
| vidare | diskussion | 1 |
| diskussion | kring | 1 |
| kring | vad | 1 |
| vad | som | 1 |
| som | är | 1 |
| är | rimligt | 1 |
| rimligt | , | 1 |
| , | måttligt | 1 |
| måttligt | och | 1 |
| och | möjligt | 1 |
| möjligt | att | 1 |
| att | kräva | 1 |
| kräva | . | 1 |
| . | Ett | 1 |
| Ett | stort | 1 |
| stort | tack | 1 |
| tack | till | 1 |
| till | Folke | 1 |
| Folke | Björk | 1 |
| Björk | , | 1 |
| , | KTH | 1 |
| KTH | , | 1 |
| , | som | 1 |
| som | handlett | 1 |
| handlett | väl | 1 |
| väl | , | 1 |
| , | alltid | 1 |
| alltid | tagit | 2 |
| tagit | sig | 2 |
| sig | tid | 2 |
| tid | och | 2 |
| och | sett | 2 |
| sett | till | 2 |
| till | att | 2 |
| att | hålla | 2 |
| hålla | arbetet | 2 |
| arbetet | på | 2 |
| på | rätt | 2 |
| rätt | spår | 2 |
| spår | . | 2 |
| . | Tack | 1 |
| Tack | också | 1 |
| också | till | 1 |
| till | Björn | 1 |
| Björn | Lundquist | 1 |
| Lundquist | , | 1 |
| , | Peab | 1 |
| Peab | Hus | 1 |
| Hus | & | 1 |
| & | Industri | 1 |
| Industri | , | 1 |
| , | för | 1 |
| för | sitt | 1 |
| sitt | engagemang | 1 |
| engagemang | och | 1 |
| och | kunnande | 1 |
| kunnande | samt | 1 |
| samt | hjälp | 1 |
| hjälp | med | 1 |
| med | informationsinsamling | 1 |
| informationsinsamling | . | 1 |

Average dependency distance: 192/185 = 1.04
