| Token | Head | Distance |
|---|---|---|
| Vilket | är | 1 |
| är | moderkortets | 2 |
| moderkortets | huvudsakliga | 3 |
| huvudsakliga | uppgift | 4 |
| Moderkortet | är | 1 |
| är | en | 2 |
| en | av | 3 |
| av | datorns | 4 |
| datorns | absolut | 5 |
| absolut | viktigaste | 6 |
| viktigaste | delar | 7 |
| Moderkortet | är | 1 |
| är | en | 2 |
| en | metallplatta | 3 |
| metallplatta | som | 4 |
| som | sitter | 5 |
| sitter | i | 6 |
| i | datorn | 7 |
| och | nästan | 1 |
| nästan | alla | 2 |
| alla | datorns | 3 |
| datorns | delar | 4 |
| sitter | anslutna | 5 |
| anslutna | till | 6 |
| till | den | 7 |
| Delarna | sätter | 1 |
| sätter | man | 2 |
| man | in | 3 |
| in | i | 4 |
| i | så | 5 |
| så | kallade | 6 |
| kallade | I/O-portar | 7 |
| I/O-portar | ( | 8 |
| ( | In | 9 |
| In | / | 10 |
| / | Out | 11 |
| Out | - | 12 |
| - | portar | 13 |
| portar | ) | 14 |
| och | desto | 1 |
| desto | fler | 2 |
| fler | sådana | 3 |
| sådana | man | 4 |
| man | har | 5 |
| har | , | 6 |
| desto | fler | 7 |
| fler | grafikkort | 8 |
| grafikkort | och | 9 |
| och | ljudkort | 10 |
| ljudkort | m | 11 |
| m | . | 12 |
| . | m | 13 |
| m | kan | 14 |
| kan | man | 15 |
| man | installera | 16 |
| Om | det | 1 |
| det | inte | 2 |
| inte | räcker | 3 |
| räcker | med | 4 |
| med | ett | 5 |
| ett | moderkort | 6 |
| kan | man | 7 |
| man | köpa | 8 |
| köpa | flera | 9 |
| flera | kort | 10 |
| kort | istället | 11 |
| istället | , | 12 |
| då | kallas | 1 |
| kallas | de | 2 |
| de | för | 3 |
| för | dotterkort | 4 |
| dotterkort | . | 5 |

Average dependency distance: 6.9 / 46 = 0.15
