| Token | Head | Dependency Distance |
|---|---|---|
| Behöver | skydd | 1 |
| skydd | på grund av | 3 |
| på grund av | krig | 4 |
| krig | eller | 2 |
| eller | miljökatastrof | 3 |
| miljökatastrof | i | 2 |
| i | sitt hemland | 3 |
| Är | rädd | 1 |
| rädd | för | 2 |
| för | att | 3 |
| att | bli | 4 |
| bli | förföljd | 5 |
| förföljd | på grund av | 3 |
| på grund av | sitt kön | 4 |
| sitt kön | eller | 2 |
| eller | sexualitet | 3 |
| Humanitära | skäl | 1 |
| skäl | - | 0 |
| Personer | som | 2 |
| som | har | 3 |
| har | starka | 4 |
| starka | humanitära | 5 |
| humanitära | skäl | 6 |
| skäl | kan | 2 |
| kan | också | 3 |
| också | tillåtas | 4 |
| tillåtas | stanna | 5 |
| stanna | i | 2 |
| i | Sverige | 3 |
| Det | gäller | 2 |
| gäller | den | 3 |
| den | som | 4 |
| som | lider | 5 |
| lider | av | 6 |
| av | någon | 7 |
| någon | livshotande | 8 |
| livshotande | sjukdom | 9 |
| sjukdom | som | 10 |
| som | han/hon | 11 |
| han/hon | inte | 12 |
| inte | kan | 13 |
| kan | få | 14 |
| få | behandling | 15 |
| behandling | för | 16 |
| för | i | 17 |
| i | hemlandet | 18 |
| Barnfamiljer | som | 2 |
| som | vistats | 3 |
| vistats | i | 4 |
| i | Sverige | 5 |
| Sverige | i | 6 |
| i | minst | 7 |
| minst | 4 år | 8 |
| år | som | 9 |
| som | sökande | 10 |
| sökande | anses | 2 |
| anses | ha | 3 |
| ha | skäl | 4 |
| skäl | på grund av | 3 |
| på grund av | vistelsetiden | 4 |

The average dependency distance is:

(1 + 3 + 4 + 2 + 3 + 2 + 3 + 1 + 2 + 3 + 4 + 5 + 3 + 4 + 2 + 3 + 1 + 2 + 3 + 4 + 5 + 6 + 2 + 3 + 4 + 5 + 9 + 10 + 11 + 12 + 13 + 14 + 15 + 16 + 17 + 18 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 2 + 3 + 4) / 44 = 238 / 44 = 5.41

Therefore, the average dependency distance is 5.41.
