| Token | Head | Dependency Distance |
|---|---|---|
| Innan | fanns | 2 |
| kolonialtiden, | fanns | 3 |
| under | fanns | 3 |
| antikens | grekland | 2 |
| grekland | fanns | 4 |
| och | fanns | 4 |
| romartiden | fanns | 4 |
| fanns | det | 1 |
| det | liknade | 1 |
| inget | liknade | 1 |
| som | liknade | 2 |
| rasismen. | fanns | 3 |
| Och | fanns | 2 |
| även | fanns | 3 |
| ifall | fanns | 3 |
| det | fanns | 4 |
| fanns | berodde | 4 |
| slavar, | berodde | 3 |
| så | berodde | 3 |
| berodde | det | 1 |
| det | INTE | 1 |
| INTE | berodde | 2 |
| på | berodde | 2 |
| ras | berodde | 3 |
| eller | berodde | 3 |
| etniska | skäl. | 2 |
| skäl. | fanns | 3 |
| Utan | berodde | 2 |
| strikt | berodde | 3 |
| och | berodde | 3 |
| enkelt | berodde | 4 |
| pga. | berodde | 3 |
| ekonomiska | berodde | 4 |
| eller | berodde | 3 |
| juridiska. | berodde | 3 |

Average dependency distance = 3.32
