| Token | Head | Dependency distance |
|---|---|---|
| Boken | är | 1 |
| är | svår | 1 |
| ett | läromedel | 1 |
| läromedel | är | 2 |
| och | är | 2 |
| därför | är | 2 |
| svår | skriva | 1 |
| att | skriva | 2 |
| skriva | en | 1 |
| en | recension | 1 |
| recension | på | 1 |
| på | är | 2 |
| Fördelar | med | 1 |
| med | ramar | 1 |
| ramar | . | 1 |
| . | Fördelar | 3 |
| Men | nackdelar | 1 |
| nackdelar | finns | 1 |
| finns | . | 1 |
| . | Jag | 4 |
| Jag | vet | 1 |
| som | jobbat | 1 |
| jobbat | länge | 1 |
| länge | med | 1 |
| med | Html | 1 |
| Html | vet | 2 |
| vet | att | 1 |
| att | det | 2 |
| det | finns | 1 |
| finns | både | 1 |
| både | fördelar | 1 |
| fördelar | och | 1 |
| och | nackdelar | 1 |
| nackdelar | med | 1 |
| med | s.k. | 1 |
| s.k. | Ramar | 1 |
| Ramar | . | 1 |
| . | Ramar | 3 |
| Ramar | skall | 1 |
| skall | tas | 1 |
| tas | bort | 1 |
| bort | men | 1 |
| men | är | 1 |
| är | praktiska | 1 |
| praktiska | på | 1 |
| på | så | 1 |
| så | sett | 1 |
| sett | att | 1 |
| att | man | 2 |
| man | kan | 1 |
| kan | dela | 1 |
| dela | upp | 1 |
| upp | en | 1 |
| en | hemsida | 1 |
| hemsida | utan | 1 |
| utan | behöva | 1 |
| behöva | ladda | 1 |
| ladda | om | 1 |
| om | allt | 1 |
| allt | hela | 1 |
| hela | tiden | 1 |
| tiden | . | 1 |
| . | Nackdelen | 3 |
| Nackdelen | är | 1 |
| är | att | 1 |
| att | du | 2 |
| du | söker | 1 |
| söker | på | 1 |
| på | tex | 1 |
| tex | . | 1 |
| . | Altavista | 2 |
| Altavista | (en | 1 |
| (en | sökmotor | 1 |
| sökmotor | ) | 1 |
| ) | kommer | 2 |
| kommer | kanske | 1 |
| kanske | bara | 1 |
| bara | en | 1 |
| en | av | 1 |
| av | dina | 1 |
| dina | sidor | 1 |
| sidor | (filer | 1 |
| (filer | upp | 1 |
| upp | t.ex. | 1 |
| t.ex. | ”Svaren”, | 1 |
| ”Svaren”, | Se | 1 |
| Se | nedan | 1 |
| nedan | . | 1 |
| . | Förklaring | 3 |
| Förklaring | och | 1 |
| och | nackdelar | 1 |
| nackdelar | med | 1 |
| med | ramar | 1 |
| ramar | . | 1 |

Average dependency distance: 1.51
