| Word | Head | Distance |
|---|---|---|
| Om | startar | 4 |
| fetare | blandningar | 2 |
| bränsleblandningar | förbränns | 3 |
| förbränns | startar | 3 |
| startar | bli | 3 |
| förbränningen | blir | 2 |
| tidigare | blir | 4 |
| och | blir | 2 |
| våldsammare | bli | 4 |
| För | kan | 4 |
| att | kan | 3 |
| fasa | kan | 5 |
| förbränningen | kan | 4 |
| senare | kan | 4 |
| och | kan | 3 |
| sänka | kan | 4 |
| förbränningshastigheten | kan | 5 |
| kan | användas | 3 |
| extern | användas | 3 |
| kyld | användas | 3 |
| EGR | användas | 3 |
| EGR-systemet | använder | 4 |
| som | använder | 3 |
| används | använder | 4 |
| i | använder | 5 |
| detta | använder | 4 |
| examensarbete | använder | 4 |
| använder | använder | 2 |
| sig | använder | 4 |
| av | använder | 3 |
| en | av | 3 |
| delad | av | 3 |
| avgaskanal | av | 3 |
| där | används | 5 |
| den | används | 4 |
| ena | används | 4 |
| kanalen | används | 4 |
| och | används | 3 |
| ventilen | används | 5 |
| används | används | 2 |
| för | används | 3 |
| att | används | 4 |
| föra | används | 5 |
| tillbaka | används | 5 |
| EGR | används | 3 |
| till | används | 4 |
| insugssidan | används | 5 |
| EGR-ventilen | öppnar | 4 |
| öppnar | kallas | 4 |
| alltså | öppnar | 5 |
| mot | öppnar | 4 |
| insugstrycket | öppnar | 5 |
| Detta | kallas | 4 |
| system | kallas | 4 |
| kallas | kallas | 2 |
| Direct-EGR | kallas | 3 |
| ( | kallas | 3 |
| D-EGR | kallas | 3 |
| ) | kallas | 3 |
| . | kallas | 3 |

Average dependency distance: 4.02
