| Token | Head | Distance |
| ----------- | ----------- | ----------- |
| Regelförändringen | övervägs | 1 |
| övervägs | sänka | 1 |
| för | sänka | 1 |
| att | sänka | 1 |
| sänka | kostnader | 1 |
| och | sänka | 1 |
| miljöpåverkan | sänka | 1 |
| Metod | Arbetet | 1 |
| – | Arbetet | 1 |
| Arbetet | har | 1 |
| har | genomförts | 1 |
| i | genomförts | 1 |
| form | genomförts | 1 |
| av | genomförts | 1 |
| en | studie | 1 |
| case-studie | genomförts | 1 |
| För | studera | 1 |
| att | studera | 1 |
| studera | påverkan | 1 |
| på | påverkan | 1 |
| både | påverkan | 1 |
| fordonstillverkares | affärsmodeller | 1 |
| och | affärsmodeller | 1 |
| åkeriers | affärsmodeller | 1 |
| har | genomförts | 1 |
| intervjuer | genomförts | 1 |
| genomförts | med | 1 |
| med | varuägare | 1 |
| varuägare | åkerier | 1 |
| och | varuägare | 1 |
| åkerier | förare | 1 |
| och | åkerier | 1 |
| förare | inom | 1 |
| inom | transporter | 1 |
| av | transporter | 1 |
| styckegods | transporter | 1 |
| Detta | har | 1 |
| har | kompletterats | 1 |
| kompletterats | med | 1 |
| med | kontakt | 1 |
| löpande | kontakt | 1 |
| kontakt | med | 1 |
| med | uppdragsgivande | 1 |
| uppdragsgivande | fordonstillverkare | 1 |
| samt | deltagande | 1 |
| deltagande | i | 1 |
| i | konferenser | 1 |
| konferenser | inom | 1 |
| inom | för | 1 |
| för | ramen | 1 |
| ramen | för | 1 |
| för | arbetet | 1 |
| arbetet | HCT | 1 |

Average dependency distance: 1.37
