| Token | Head | Distance |
|---|---|---|
| Skogen | ROOT | 0 |
| Det | byggdes | 1 |
| första | sågverket | 1 |
| ångdrivna | sågverket | 1 |
| i | Sverige | 1 |
| Sverige | byggdes | 2 |
| byggdes | ROOT | 0 |
| 1849 | byggdes | 1 |
| . | ROOT | 0 |
| Och | ROOT | 0 |
| det | var | 1 |
| var | ROOT | 0 |
| just | här | 1 |
| här | började | 2 |
| i | trakten | 1 |
| trakten | Sundsvalls | 2 |
| Sundsvalls | trakten | 1 |
| som | började | 3 |
| började | ROOT | 0 |
| . | ROOT | 0 |
| Här | byggdes | 1 |
| byggdes | ROOT | 0 |
| det | sågverket | 1 |
| ena | sågverket | 1 |
| sågverket | byggdes | 2 |
| upp | byggdes | 1 |
| efter | byggdes | 1 |
| det | andra | 1 |
| andra | byggdes | 2 |
| . | ROOT | 0 |
| Exporten | ökade | 1 |
| ökade | ROOT | 0 |
| och | var | 2 |
| vid | var | 1 |
| sekelskiftet | var | 1 |
| 1900 | var | 1 |
| var | ROOT | 0 |
| Sverige | var | 1 |
| den | exportören | 1 |
| ledande | exportören | 1 |
| exportören | var | 2 |
| i | världen | 1 |
| världen | exportören | 2 |
| . | ROOT | 0 |
| På | byggdes | 1 |
| 1920-talet | byggdes | 1 |
| byggdes | ROOT | 0 |
| fler | sågverk | 1 |
| sågverk | byggdes | 2 |
| efter | byggdes | 1 |
| att | slått | 1 |
| slått | igenom | 2 |
| igenom | byggdes | 3 |
| . | ROOT | 0 |
| Men | ROOT | 0 |
| de | var | 1 |
| var | ROOT | 0 |
| för | små | 1 |
| små | var | 2 |
| och | dog | 2 |
| dog | ROOT | 0 |
| snart | dog | 1 |
| ut | dog | 1 |
| . | ROOT | 0 |

Average dependency distance = 404/268 = 1.51
