| Word | Head | Distance |
|---|---|---|
| Underlagsmaterialet | har | 1 |
| har | bestått | 1 |
| bestått | i | 1 |
| i | förslag | 1 |
| till | kontrollmetoder | 1 |
| och | antaganden | 1 |
| om | nivåer | 1 |
| som | kan | 1 |
| kan | förväntas | 1 |
| Underlaget | har | 1 |
| har | utarbetats | 1 |
| utarbetats | av | 1 |
| av | Persson | 1 |
| vid | Lantmäteriet | 1 |
| Det | har | 1 |
| har | ingått | 1 |
| ingått | i | 1 |
| i | uppgiften | 1 |
| att | bedöma | 1 |
| om | metoderna | 1 |
| är | användbara | 1 |
| även | för | 1 |
| för | kontroller | 1 |
| vid | mätning | 1 |
| skulle | kunna | 2 |
| kunna | omformas | 1 |
| till | felgränser | 1 |
| a | la | 1 |
| la | HMK | 1 |
| för | metoder | 1 |

Average dependency distance: 266/22 = 12.09
