| Token | Head | Dependency Distance |
|---|---|---|
| Kosovo | styras | 3 |
| kom | styras | 2 |
| att | styras | 1 |
| styras | kom | 1 |
| av | styras | 2 |
| den | armen | 2 |
| serbiska | armen | 1 |
| armen | styras | 1 |
| och | polisen | 1 |
| polisen | styras | 1 |
| . | styras | 1 |
| Serbien | inledde | 1 |
| inledde | inledde | 0 |
| genast | inledde | 1 |
| en | kolonisering | 1 |
| kolonisering | inledde | 1 |
| av | kolonisering | 2 |
| Kosovo | kolonisering | 1 |
| , | kolonisering | 1 |
| runt | flyttade | 2 |
| 100 | flyttade | 1 |
| 000 | flyttade | 1 |
| serber | flyttade | 1 |
| och | montenegriner | 1 |
| montenegriner | flyttade | 1 |
| flyttade | inledde | 1 |
| in | flyttade | 2 |
| och | tilldelades | 1 |
| tilldelades | flyttade | 1 |
| konfiskerad | mark | 1 |
| mark | tilldelades | 1 |
| ( | mark | 1 |
| tagen | mark | 1 |
| mark | konfiskerad | 1 |
| ) | mark | 1 |
| Man | ville | 1 |
| ville | ville | 0 |
| bryta | ville | 1 |
| den | dominansen | 2 |
| albanska | dominansen | 1 |
| dominansen | bryta | 1 |
| , | dominansen | 1 |
| ”serbifiera” | området | 1 |
| ( | området | 1 |
| göra | området | 2 |
| det | området | 2 |
| serbiskt | området | 1 |
| området | serbifiera | 1 |
| ) | området | 1 |
| . | området | 1 |
| Detta | var | 1 |
| var | var | 0 |
| det | var | 2 |
| värsta | var | 1 |
| som | var | 2 |
| kunde | var | 2 |
| hända | kunde | 2 |
| folket | hända | 1 |
| i | folket | 2 |
| Kosovo | folket | 1 |
| . | folket | 1 |
| Detta | hade | 1 |
| hade | hade | 0 |
| folk | hade | 1 |
| inga | rättigheter | 1 |
| rättigheter | hade | 1 |
| . | rättigheter | 1 |
| De | hade | 1 |
| hade | hade | 0 |
| ingen | flagga | 1 |
| flagga | hade | 1 |
| , | flagga | 1 |
| inga | skolor | 1 |
| skolor | hade | 1 |
| och | fick | 1 |
| fick | fick | 0 |
| de | fick | 1 |
| inte | fick | 1 |
| ens | fick | 2 |
| använda | fick | 2 |
| sitt | språk | 1 |
| språk | använda | 1 |
| . | fick | 1 |

Average dependency distance: 134/119 = 1.126
