| Word | Head | Distance |
|---|---|---|
| Ett | annat | 1 |
| annat | exempel | 2 |
| exempel | är | 3 |
| är | då | 4 |
| då | nazityskland | 5 |
| nazityskland | var | 6 |
| var | tvungna | 7 |
| tvungna | att | 8 |
| att | kommunicera | 9 |
| kommunicera | med | 10 |
| med | ockupations | 11 |
| ockupations | trupper | 12 |
| trupper | i | 13 |
| i | Norge | 14 |
| Norge | då | 15 |
| då | använde | 16 |
| använde | man | 17 |
| man | Sveriges | 18 |
| Sveriges | telefonlinjer | 19 |
| Telefonlinjerna | avlyssnades | 20 |
| avlyssnades | av | 21 |
| av | det | 22 |
| det | svenska | 23 |
| svenska | försvaret | 24 |
| försvaret | och | 25 |
| och | 1940 | 26 |
| 1940 | lyckades | 27 |
| lyckades | den | 28 |
| den | matematikiska | 29 |
| matematikiska | professorn | 30 |
| professorn | Arne | 31 |
| Arne | Beurling | 32 |
| Beurling | knäcka | 33 |
| knäcka | den | 34 |
| den | tyska | 35 |
| tyska | kodmaskinen | 36 |
| kodmaskinen | Geheimfernschreiber | 37 |
| Geheimfernschreiber | och | 38 |
| och | Sverige | 39 |
| Sverige | kunde | 40 |
| kunde | avlyssna | 41 |
| avlyssna | hemliga | 42 |
| hemliga | samtal | 43 |
| samtal | handlade | 44 |
| handlade | bland | 45 |
| bland | annat | 46 |
| annat | om | 47 |
| om | operationen | 48 |
| operationen | Barbossa | 49 |
| och | anfallet | 50 |
| anfallet | mot | 51 |
| mot | sovjet | 52 |

Average dependency distance = 442 / 52 = 8.5
