| Token | Head | Dependency Distance |
|---|---|---|
| Saker | är | 1 |
| man | bör | 1 |
| bör | tänka | 1 |
| tänka | är | 2 |
| på | är | 2 |
| är | . | 0 |
| Uppgraderingsmöjligheter | är | 1 |
| Klarar | moderkortet | 1 |
| moderkortet | är | 2 |
| en | processor | 2 |
| större | processor | 1 |
| processor | Klarar | 3 |
| mera | minnen | 1 |
| minnen | Klarar | 3 |
| flera | kort | 1 |
| kort | Klarar | 3 |
| nätverkskort | kort | 2 |
| videokort | kort | 2 |
| ljudkort | kort | 2 |
| och | kort | 2 |
| så | vidare | 1 |
| vidare | kort | 3 |
| andra | tilläggskort | 1 |
| tilläggskort | kort | 3 |
| Detta | är | 1 |
| är | bra | 1 |
| bra | veta | 1 |
| veta | är | 2 |
| så | står | 1 |
| står | man | 2 |
| man | är | 3 |
| inte | står | 2 |
| där | står | 2 |
| med | köpt | 1 |
| köpt | står | 3 |
| exempelvis | scanner | 1 |
| scanner | köpt | 2 |
| som | köpt | 2 |
| man | köpt | 3 |
| kommer | på | 1 |
| på | köpt | 3 |
| att | har | 1 |
| har | kommer | 2 |
| inte | har | 2 |
| moderkortet | har | 3 |
| plats | har | 2 |
| för | kort | 1 |
| kort | har | 3 |
| som | kräver | 1 |
| kräver | kort | 2 |
| vissa | kräver | 1 |
| scanners | kräver | 2 |

Average dependency distance = 94/74 = 1.27
