| Token | Head | Dependency Distance |
|---|---|---|
| När | blev | 3 |
| Isabell | blev | 2 |
| blev | började | 1 |
| äldre | blev | 1 |
| började | hon | 1 |
| hon | började | 1 |
| skolan | började | 2 |
| Förmögna | lät | 2 |
| romare | lät | 2 |
| lät | gå | 1 |
| sina | flickor | 1 |
| flickor | gå | 1 |
| gå | i | 1 |
| skolan | gå | 1 |
| eller | undervisas | 1 |
| undervisas | i | 1 |
| hemmet | undervisas | 2 |
| Isabell | visste | 2 |
| visste | redan | 1 |
| redan | visste | 1 |
| vad | ville | 2 |
| hon | ville | 2 |
| ville | bli | 1 |
| bli | läkare | 2 |
| läkare | bli | 1 |
| precis | som | 1 |
| som | bli | 1 |
| sin | far | 1 |
| far | som | 1 |
| Hon | frågade | 1 |
| frågade | ofta | 1 |
| ofta | frågade | 1 |
| sina | föräldrar | 1 |
| föräldrar | frågade | 1 |
| om | hade | 2 |
| hur | hade | 2 |
| andra | barn | 1 |
| barn | hade | 1 |
| hade | det | 1 |
| det | hade | 1 |
| som | bodde | 2 |
| inte | bodde | 1 |
| bodde | i | 1 |
| i | bodde | 1 |
| stora | hus | 1 |
| hus | bodde | 1 |
| som | hon | 2 |
| hon | bodde | 1 |
| Men | fick | 3 |
| hon | fick | 2 |
| fick | bara | 1 |
| bara | fick | 1 |
| till | svar | 1 |
| svar | fick | 1 |
| att | skulle | 3 |
| hon | skulle | 2 |
| skulle | bry | 1 |
| bry | sig | 1 |
| sig | bry | 1 |
| om | simpla | 2 |
| simpla | plebejer | 1 |
| plebejer | skulle | 1 |
| Plebejer | var | 1 |
| var | människor | 1 |
| människor | var | 1 |
| som | hade | 2 |
| hade | yrken | 1 |
| yrken | hade | 1 |
| som | hantverkare | 2 |
| hantverkare | hade | 1 |
| eller | arbetare | 1 |
| arbetare | hade | 1 |
| tyckte | Isabells | 1 |
| Isabells | föräldrar | 1 |
| föräldrar | tyckte | 1 |

Average dependency distance: 250/106 = 2.36
