| Word | Head | Distance |
|---|---|---|
| Behöver | skydd | 1 |
| skydd | pga. | 1 |
| pga. | krig | 1 |
| krig | eller | 1 |
| eller | miljökatastrof | 1 |
| miljökatastrof | i | 1 |
| i | sitt | 1 |
| sitt | hemland | 1 |
| Är | rädd | 1 |
| rädd | för | 1 |
| för | att | 1 |
| att | bli | 1 |
| bli | förföljd | 1 |
| förföljd | pga. | 1 |
| pga. | sitt | 1 |
| sitt | kön | 1 |
| kön | eller | 1 |
| eller | sexualitet | 1 |
| Humanitära | skäl | 1 |
| skäl | - | 1 |
| - | Personer | 1 |
| Personer | som | 1 |
| som | har | 1 |
| har | starka | 1 |
| starka | humanitära | 1 |
| humanitära | skäl | 1 |
| skäl | kan | 1 |
| kan | också | 1 |
| också | tillåtas | 1 |
| tillåtas | stanna | 1 |
| stanna | i | 1 |
| i | Sverige | 1 |
| Det | gäller | 1 |
| gäller | t | 1 |
| t | ex. | 1 |
| ex. | den | 1 |
| den | som | 1 |
| som | lider | 1 |
| lider | av | 1 |
| av | någon | 1 |
| någon | livshotande | 1 |
| livshotande | sjukdom | 1 |
| sjukdom | som | 1 |
| som | han/hon | 1 |
| han/hon | inte | 1 |
| inte | kan | 1 |
| kan | få | 1 |
| få | behandling | 1 |
| behandling | för | 1 |
| för | i | 1 |
| i | hemlandet | 1 |
| Barnfamiljer | som | 1 |
| som | vistats | 1 |
| vistats | i | 1 |
| i | Sverige | 1 |
| Sverige | i | 1 |
| i | minst | 1 |
| minst | 4 | 1 |
| 4 | år | 1 |
| år | som | 1 |
| som | sökande | 1 |
| sökande | , | 1 |
| , | anses | 1 |
| anses | ha | 1 |
| ha | skäl | 1 |
| skäl | på | 1 |
| på | grund | 1 |
| grund | av | 1 |
| av | vistelsetiden | 1 |

The average dependency distance is 385/37 = 10.41.
