| Word | Head | Distance |
|---|---|---|
| Man | måste | 1 |
| också | måste | 2 |
| veta | måste | 3 |
| vad | veta | 4 |
| som | veta | 5 |
| man | ska | 1 |
| ska | odla | 2 |
| i | odla | 3 |
| vilka | jordar | 1 |
| jordar | odla | 2 |
| och | hantera | 1 |
| hur | hantera | 2 |
| man | ska | 1 |
| ska | hantera | 2 |
| gödnings- | medel | 1 |
| och | bekämpningsmedel | 1 |
| bekämpningsmedel | hantera | 2 |
| Nu | arbetar | 1 |
| arbetar | får | 2 |
| mindre | än | 1 |
| än | får | 2 |
| fem | procent | 1 |
| procent | får | 2 |
| av | Sverige | 1 |
| Sverige | får | 2 |
| befolkning | får | 3 |
| inom | jordbruket | 1 |
| jordbruket | får | 2 |
| och | får | 1 |
| ändå | får | 2 |
| får | har | 3 |
| man | har | 1 |
| stora | överskott | 1 |
| överskott | har | 2 |
| Förklaringen | är | 1 |
| är | har | 2 |
| för | det | 1 |
| det | är | 2 |
| är | har | 3 |
| att | använder | 1 |
| använder | har | 2 |
| man | använder | 1 |
| nu | använder | 2 |
| sig | använder | 3 |
| av | maskiner | 1 |
| maskiner | använder | 2 |
| effektivare | maskiner | 1 |
| maskiner | har | 2 |
| och | har | 1 |
| antalet | maskiner | 1 |
| maskiner | har | 2 |
| har | ökat | 3 |
| ökat | har | 2 |
| mycket | ökat | 1 |

The average dependency distance is 2.12.
